,RFP
% Below High,0.0026
% Held by Institutions,0.9133
52-Wk Range,['11.00 - 21.22']
Annual Dividend $,
Annual Dividend %,
Ask,21.17
Ask Size,1700.0
B/A Ratio,1.0
B/A Size,1700x1700
Beta,2.7
Bid,21.16
Bid Size,1700.0
Day Change $,-0.015
Day Change %,-0.0007000000000000001
Day High,21.19
Day Low,21.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.43
Ex-dividend Date,No dividend
Historical Volatility,0.708
Last (size),100.0
Last (time),12:37p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.9
Prev Close,21.18
Price,21.17
Short Interest,0.0317
Today's Open,21.09
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.12650602409638556
Growth 1yr High Est,-0.15351506456241026
Growth 1yr Consensus Est,-0.1400105443293979
Growth 2yr Low Est,-0.39773577066888244
Growth 2yr High Est,-0.3801473627896797
Growth 2yr Consensus Est,-0.38894156672928104
Growth 5yr Low Est,4.110729344376773
Growth 5yr High Est,2.2124318786221413
Growth 5yr Consensus Est,3.1615806114994576
Growth 5yr Actual/Est,1.494098822324629
Growth 3yr Historic,1.6788461538461539
Price/Earnings (TTM),3.90218
Price/Sales (TTM),0.4275
Price/Book (MRQ),0.76873
Price/Cash Flow (TTM),2.8683
5yr Low,1.14
5yr High,21.22
5yr Avg Return,0.28603333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0066253
Dividend Growth 5yr,
Short Int Current Month,2413517.0
Short Int Prev Month,2458623.0
Short Int Pct of Float,0.0317294
Days to Cover,5.25786
Float,76.25217
Shares Outstanding,76.92124
Institutions Holding Shares,210.0
FCF Growth 5yr,0.4992779071394943
"Price/Earnings (TTM, GAAP)",3.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35369999999999996
Operating Profit Margin (TTM),0.1244
Net Profit Margin (TTM),0.1118
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6609999999999999
EPS Growth (TTM),0.1331
Revenue Growth (MRQ),-0.07940000000000001
Revenue Growth (TTM),0.0589
Return On Equity (TTM),0.23750000000000002
Return On Assets (TTM),0.109
Return On Investment (TTM),0.1241
Revenue Per Employee (TTM),552319.0
Total Debt/Total Capital (MRQ),0.1244
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.7
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-05-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
