,FULC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),33.28,18.12,Valuation,1.836644591611479
Price/Book (MRQ),1.61,11.52,Valuation,0.13975694444444445
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6774,Profitability,
Operating Profit Margin (TTM),-10.0931,-0.8243,Profitability,12.244449836224675
Net Profit Margin (TTM),-10.0065,-0.8643000000000001,Profitability,11.577577230128428
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),0.3835,0.0882,Gowth rates,4.3480725623582765
EPS Growth (TTM),-0.09029999999999999,0.5872999999999999,Gowth rates,-0.1537544696066746
Revenue Growth (MRQ),-0.3714,0.0441,Gowth rates,-8.421768707482993
Revenue Growth (TTM),-0.4154,0.17600000000000002,Gowth rates,-2.3602272727272724
Return On Equity (TTM),-0.4744,0.3019,Effectiveness,-1.571381252070222
Return On Assets (TTM),-0.42600000000000005,0.09210000000000002,Effectiveness,-4.625407166123778
Return On Investment (TTM),-0.4582,0.1384,Effectiveness,-3.310693641618497
Revenue Per Employee (TTM),103029.0,1426391.0,Effectiveness,0.07223054548156851
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.1,Financial strength,
