,FULC
% Above Low,1.1340000000000001
% Held by Institutions,0.9387000000000001
52-Wk Range,['3.21 - 24.79']
Annual Dividend $,
Annual Dividend %,
Ask,6.99
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,6.8
Bid Size,200.0
Closing Price,6.85
Day Change $,0.01
Day Change %,0.0015
Day High,7.04
Day Low,6.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.56
Ex-dividend Date,No dividend
Historical Volatility,0.9920000000000001
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,356.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.84
Short Interest,0.0697
Today's Open,6.85
Volume,149232.0
Volume 10-day Avg,369599.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.03112840466926059
Growth 1yr High Est,-0.0357142857142857
Growth 1yr Consensus Est,-0.033421345191773144
Growth 2yr Low Est,-0.007532073820574192
Growth 2yr High Est,-0.17294973544973546
Growth 2yr Consensus Est,-0.09024090463515483
Growth 5yr Low Est,-0.0398645881219624
Growth 5yr High Est,-0.1875608958942292
Growth 5yr Consensus Est,-0.1137127420080958
Growth 5yr Actual/Est,-0.22754552647683132
Growth 3yr Historic,-0.2090095094499332
Price/Earnings (TTM),
Price/Sales (TTM),33.27598
Price/Book (MRQ),1.6103
Price/Cash Flow (TTM),
5yr Low,3.21
5yr High,33.1
5yr Avg Return,-0.065875
Short Int Current Month,3410070.0
Short Int Prev Month,3478179.0
Short Int Pct of Float,0.0696978
Days to Cover,8.14059
Float,48.86411
Shares Outstanding,52.05141
Institutions Holding Shares,148.0
FCF Growth 5yr,0.3712951611017163
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-10.0931
Net Profit Margin (TTM),-10.0065
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3835
EPS Growth (TTM),-0.09029999999999999
Revenue Growth (MRQ),-0.3714
Revenue Growth (TTM),-0.4154
Return On Equity (TTM),-0.4744
Return On Assets (TTM),-0.42600000000000005
Return On Investment (TTM),-0.4582
Revenue Per Employee (TTM),103029.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-05-27 00:00:00
researchTeam since,2021-05-27 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
