,W
% Above Low,0.14800000000000002
% Held by Institutions,1.1185
52-Wk Range,['28.11 - 273.64']
Annual Dividend $,
Annual Dividend %,
Ask,34.5
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,2.9
Bid,32.31
Bid Size,1600.0
Closing Price,32.27
Day Change $,0.25
Day Change %,0.0078000000000000005
Day High,33.1
Day Low,31.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-11.22
Ex-dividend Date,No dividend
Historical Volatility,1.042
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,3.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,32.02
Short Interest,0.3119
Today's Open,32.16
Volume,3438822.0
Volume 10-day Avg,4686517.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.008599508599508643
Growth 1yr High Est,-0.1202185792349727
Growth 1yr Consensus Est,-0.06440904391724067
Growth 2yr Low Est,0.03969033244126169
Growth 2yr High Est,-0.5228422088721447
Growth 2yr Consensus Est,-0.24157593821544152
Growth 5yr Low Est,0.019845166220630844
Growth 5yr High Est,-0.26142110443607236
Growth 5yr Consensus Est,-0.12078796910772076
Growth 5yr Actual/Est,-1.7056937381098933
Growth 3yr Historic,-0.5418322164897508
Price/Earnings (TTM),
Price/Sales (TTM),0.27731
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,21.7
5yr High,369.0
5yr Avg Return,0.12411666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.3231291
Dividend Growth 5yr,
Short Int Current Month,22691162.0
Short Int Prev Month,22195141.0
Short Int Pct of Float,0.3118725
Days to Cover,4.12126
Float,72.78334
Shares Outstanding,107.122
Institutions Holding Shares,464.0
FCF Growth 5yr,-0.6244471837982937
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2727
Operating Profit Margin (TTM),-0.09330000000000001
Net Profit Margin (TTM),-0.09550000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2584
EPS Growth (TTM),-16.5884
Revenue Growth (MRQ),-0.1352
Revenue Growth (TTM),-0.1245
Return On Equity (TTM),
Return On Assets (TTM),-0.2911
Return On Investment (TTM),-0.5725
Revenue Per Employee (TTM),741489.0
Total Debt/Total Capital (MRQ),4.1455
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),-68.2
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-11-05 00:00:00
theStreet since,2022-01-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-04 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
