,W,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),0.28,7.6,Valuation,0.0368421052631579
Price/Book (MRQ),,10.0,Valuation,
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.2727,0.4335,Profitability,0.6290657439446367
Operating Profit Margin (TTM),-0.09330000000000001,0.0117,Profitability,-7.9743589743589745
Net Profit Margin (TTM),-0.09550000000000002,-0.0141,Profitability,6.773049645390072
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.2584,-0.26239999999999997,Gowth rates,-0.9847560975609758
EPS Growth (TTM),-16.5884,-0.6279,Gowth rates,26.41885650581303
Revenue Growth (MRQ),-0.1352,0.1585,Gowth rates,-0.8529968454258674
Revenue Growth (TTM),-0.1245,0.12369999999999999,Gowth rates,-1.0064672594987876
Return On Equity (TTM),,0.0635,Effectiveness,
Return On Assets (TTM),-0.2911,-0.1317,Effectiveness,2.2103264996203493
Return On Investment (TTM),-0.5725,0.0197,Effectiveness,-29.060913705583758
Revenue Per Employee (TTM),741489.0,354479.0,Effectiveness,2.0917713038007895
Total Debt/Total Capital (MRQ),4.1455,0.39840000000000003,Financial strength,10.405371485943775
Change in Debt/Total Capital Quarter over Quarter,0.0026000000000000003,0.4575,Financial strength,0.005683060109289618
Quick Ratio (MRQ),0.97,0.68,Financial strength,1.426470588235294
Interest Coverage (MRQ),-68.2,-0.6,Financial strength,113.66666666666667
