,SANM
% Below High,0.0492
% Held by Institutions,0.9454
52-Wk Range,['35.36 - 69.28']
Annual Dividend $,
Annual Dividend %,
Ask,65.87
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,65.82
Bid Size,200.0
Day Change $,-0.69
Day Change %,-0.0104
Day High,66.04
Day Low,65.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.09
Ex-dividend Date,No dividend
Historical Volatility,0.34600000000000003
Last (size),100.0
Last (time),1:37p ET 11/28/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.28
Prev Close,66.56
Price,65.87
Short Interest,0.0218
Today's Open,65.84
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.1659751037344397
Growth 1yr High Est,0.27402862985685084
Growth 1yr Consensus Est,0.22000186679564526
Growth 2yr Low Est,0.09544306788145474
Growth 2yr High Est,0.2533867065817159
Growth 2yr Consensus Est,0.17441488723158532
Growth 5yr Low Est,0.1319620452543032
Growth 5yr High Est,0.24005763896183865
Growth 5yr Consensus Est,0.18600984210807092
Growth 5yr Actual/Est,0.2239156498906088
Growth 3yr Historic,0.13964157410083833
Price/Earnings (TTM),16.27941
Price/Sales (TTM),0.48445
Price/Book (MRQ),2.05244
Price/Cash Flow (TTM),10.47542
5yr Low,18.34
5yr High,69.28
5yr Avg Return,0.15564999999999998
EPS Growth 5yr,0.1795676
Revenue Growth 5yr,0.028127
Dividend Growth 5yr,
Short Int Current Month,1220433.0
Short Int Prev Month,1355045.0
Short Int Pct of Float,0.0218073
Days to Cover,2.59717
Float,55.94788
Shares Outstanding,57.42972
Institutions Holding Shares,382.0
FCF Growth 5yr,0.697460601020628
"Price/Earnings (TTM, GAAP)",16.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0812
Operating Profit Margin (TTM),0.0466
Net Profit Margin (TTM),0.0325
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1575
EPS Growth (TTM),0.0206
Revenue Growth (MRQ),0.0909
Revenue Growth (TTM),0.1678
Return On Equity (TTM),0.13699999999999998
Return On Assets (TTM),0.0565
Return On Investment (TTM),0.10560000000000001
Revenue Per Employee (TTM),232073.0
Total Debt/Total Capital (MRQ),0.157
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),16.85
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-11-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-03-02 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
