,AXS
% Below High,0.0717
% Held by Institutions,0.9472
52-Wk Range,['48.32 - 61.39']
Annual Dividend $,1.72
Annual Dividend %,0.0302
Ask,57.32
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.8
Bid,46.0
Bid Size,500.0
Closing Price,56.99
Day Change $,0.48
Day Change %,0.0085
Day High,57.3
Day Low,56.19
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",4.09
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.29
Last (size),110.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.94
Prev Close,56.51
Short Interest,0.0085
Today's Open,56.45
Volume,170463.0
Volume 10-day Avg,481941.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,1.096774193548387
Growth 1yr High Est,1.1923076923076925
Growth 1yr Consensus Est,1.1445409429280398
Growth 2yr Low Est,0.7070409429280397
Growth 2yr High Est,0.7935222672064778
Growth 2yr Consensus Est,0.7502816050672587
Growth 5yr Low Est,0.3535204714640198
Growth 5yr High Est,0.3967611336032389
Growth 5yr Consensus Est,0.37514080253362936
Growth 5yr Actual/Est,-1.220758155162721
Growth 3yr Historic,-1.321733821733822
Price/Earnings (TTM),13.94108
Price/Sales (TTM),0.94645
Price/Book (MRQ),1.27197
Price/Cash Flow (TTM),11.61401
5yr Low,31.82
5yr High,67.51
5yr Avg Return,0.019033333333333333
EPS Growth 5yr,0.06291820000000001
Revenue Growth 5yr,0.0570838
Dividend Growth 5yr,0.0327487
Short Int Current Month,655508.0
Short Int Prev Month,762324.0
Short Int Pct of Float,0.008526899999999999
Days to Cover,1.58999
Float,76.9458
Shares Outstanding,84.6669
Institutions Holding Shares,377.0
FCF Growth 5yr,0.983243761944026
"Price/Earnings (TTM, GAAP)",13.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.041299999999999996
Net Profit Margin (TTM),0.0732
Annual Dividend Yield,0.0302
Dividend Change %,0.0244
"Dividend Growth Rate, 3 Years",0.025
EPS Growth (MRQ),-1.6030000000000002
EPS Growth (TTM),-0.09820000000000001
Revenue Growth (MRQ),0.026400000000000003
Revenue Growth (TTM),-0.0203
Return On Equity (TTM),0.08140000000000001
Return On Assets (TTM),0.013600000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),2448695.0
Total Debt/Total Capital (MRQ),0.2321
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-15 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-07-27 00:00:00
