,IOSP
% Below High,0.0385
% Held by Institutions,0.9803000000000001
52-Wk Range,['81.00 - 115.66']
Annual Dividend $,1.28
Annual Dividend %,0.0115
Ask,179.08
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,44.78
Bid Size,200.0
Closing Price,111.2
Day Change $,-0.6
Day Change %,-0.0054
Day High,112.7
Day Low,111.1
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.29600000000000004
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.1
Prev Close,111.8
Short Interest,0.01
Today's Open,111.1
Volume,24969.0
Volume 10-day Avg,72742.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.21176470588235308
Growth 1yr High Est,0.22630560928433274
Growth 1yr Consensus Est,0.2190351575833429
Growth 2yr Low Est,0.13177232057871702
Growth 2yr High Est,0.18491936615636195
Growth 2yr Consensus Est,0.15834584336753948
Growth 5yr Low Est,0.06588616028935851
Growth 5yr High Est,0.09245968307818098
Growth 5yr Consensus Est,0.07917292168376974
Growth 5yr Actual/Est,0.12466933711639783
Growth 3yr Historic,0.026885366840389335
Price/Earnings (TTM),21.10077
Price/Sales (TTM),1.47565
Price/Book (MRQ),2.52871
Price/Cash Flow (TTM),15.81766
5yr Low,53.07
5yr High,115.66
5yr Avg Return,0.10545
EPS Growth 5yr,0.0240474
Revenue Growth 5yr,0.1092263
Dividend Growth 5yr,0.116032
Short Int Current Month,245642.0
Short Int Prev Month,316082.0
Short Int Pct of Float,0.0100465
Days to Cover,2.42236
Float,24.46423
Shares Outstanding,24.76487
Institutions Holding Shares,278.0
FCF Growth 5yr,-0.6034775866320313
"Price/Earnings (TTM, GAAP)",21.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2936
Operating Profit Margin (TTM),0.0944
Net Profit Margin (TTM),0.0704
Annual Dividend Yield,0.0115
Dividend Change %,0.11539999999999999
"Dividend Growth Rate, 3 Years",0.09230000000000001
EPS Growth (MRQ),0.1984
EPS Growth (TTM),0.4268
Revenue Growth (MRQ),0.0971
Revenue Growth (TTM),0.35130000000000006
Return On Equity (TTM),0.1262
Return On Assets (TTM),0.08310000000000001
Return On Investment (TTM),0.10640000000000001
Revenue Per Employee (TTM),982211.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),21.17
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-11-09 00:00:00
researchTeam since,2022-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
