,IOSP
Price/Earnings (TTM),21.10077
Price/Sales (TTM),1.47565
Price/Book (MRQ),2.52871
Price/Cash Flow (TTM),15.81766
5yr Low,53.07
5yr High,115.66
5yr Avg Return,0.10545
EPS Growth 5yr,0.0240474
Revenue Growth 5yr,0.1092263
Dividend Growth 5yr,0.116032
Short Int Current Month,245642.0
Short Int Prev Month,316082.0
Short Int Pct of Float,0.0100465
Days to Cover,2.42236
Float,24.46423
Shares Outstanding,24.76487
Institutions Holding Shares,278.0
% Held by Institutions,0.980282
FCF Growth 5yr,-0.6034775866320313
