,XYL
% Below High,0.1258
% Held by Institutions,0.8909999999999999
52-Wk Range,['72.08 - 125.38']
Annual Dividend $,1.2
Annual Dividend %,0.0106
Ask,119.4
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.1
Bid,61.7
Bid Size,100.0
Closing Price,109.61
Day Change $,-3.89
Day Change %,-0.034300000000000004
Day High,112.68
Day Low,108.81
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.35200000000000004
Last (size),535.0
Last (time),7:00p ET 11/28/22
Market Cap,19.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",64.41
Prev Close,113.5
Short Interest,0.0215
Today's Open,112.46
Volume,1184873.0
Volume 10-day Avg,742090.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.1161825726141077
Growth 1yr High Est,0.10000000000000009
Growth 1yr Consensus Est,0.10809128630705389
Growth 2yr Low Est,0.11571210415092004
Growth 2yr High Est,0.1681818181818182
Growth 2yr Consensus Est,0.14194696116636912
Growth 5yr Low Est,0.008689385408793354
Growth 5yr High Est,0.0403615361536154
Growth 5yr Consensus Est,0.024525460781204378
Growth 5yr Actual/Est,0.03539302666163449
Growth 3yr Historic,-0.02728573265607917
Price/Earnings (TTM),64.41105
Price/Sales (TTM),3.83127
Price/Book (MRQ),6.36165
Price/Cash Flow (TTM),36.92264
5yr Low,54.62
5yr High,138.78
5yr Avg Return,0.09171666666666667
EPS Growth 5yr,0.1024793
Revenue Growth 5yr,0.0661684
Dividend Growth 5yr,0.1256965
Short Int Current Month,3849887.0
Short Int Prev Month,3996020.0
Short Int Pct of Float,0.021539199999999998
Days to Cover,3.67735
Float,178.7535
Shares Outstanding,180.2215
Institutions Holding Shares,1115.0
FCF Growth 5yr,-1.4248011248011248
"Price/Earnings (TTM, GAAP)",64.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3754
Operating Profit Margin (TTM),0.07980000000000001
Net Profit Margin (TTM),0.059699999999999996
Annual Dividend Yield,0.0106
Dividend Change %,0.07690000000000001
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),-0.893
EPS Growth (TTM),-0.308
Revenue Growth (MRQ),0.0117
Revenue Growth (TTM),0.0179
Return On Equity (TTM),0.1011
Return On Assets (TTM),0.0392
Return On Investment (TTM),0.049100000000000005
Revenue Per Employee (TTM),308613.0
Total Debt/Total Capital (MRQ),0.42310000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),16.92
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-03-29 00:00:00
theStreet since,2022-11-02 00:00:00
cfra since,2022-02-03 00:00:00
ford since,2021-07-09 00:00:00
marketEdge opinion since,
