,2018,2019,2020,2021,2022,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Report
high,9.9,15.81,28.42,27.66,19.71,,,,,
low,9.6,9.83,10.69,15.57,4.37,,,,,
change,0.0259,0.48729999999999996,0.8425,-0.3354,-0.5563,,,,,
Date,,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,116.0,50.0,65.0,60.0,Balance Sheet
"Total Receivables, Net",,,,,,31.0,33.0,34.0,32.0,Balance Sheet
Prepaid Expenses,,,,,,10.0,12.0,13.0,14.0,Balance Sheet
Total Current Assets,,,,,,157.0,96.0,112.0,106.0,Balance Sheet
Buildings,,,,,,0.0,0.0,1.0,1.0,Balance Sheet
Machinery/Equipment,,,,,,3.0,3.0,4.0,4.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,13.0,13.0,14.0,15.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,16.0,17.0,19.0,20.0,Balance Sheet
Accumulated Depreciation,,,,,,-2.0,-3.0,-3.0,-4.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,14.0,14.0,15.0,16.0,Balance Sheet
"Goodwill, Net",,,,,,752.0,824.0,824.0,828.0,Balance Sheet
Intangibles - Gross,,,,,,,,756.0,764.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,,-199.0,-228.0,Balance Sheet
Intangibles - Net,,,,,,567.0,578.0,557.0,536.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,133.0,145.0,141.0,134.0,Balance Sheet
Restricted Cash - LT,,,,,,21.0,26.0,16.0,19.0,Balance Sheet
Other Long Term Assets,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,,1645.0,1686.0,1668.0,1641.0,Balance Sheet
Accounts Payable,,,,,,18.0,20.0,22.0,22.0,Balance Sheet
Accrued Expenses,,,,,,24.0,29.0,22.0,24.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,0.0,,,Balance Sheet
Income Taxes Payable,,,,,,10.0,24.0,24.0,24.0,Balance Sheet
Other Payables,,,,,,9.0,17.0,14.0,1.0,Balance Sheet
Other Current Liabilities,,,,,,2.0,2.0,1.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,21.0,43.0,40.0,25.0,Balance Sheet
Total Current Liabilities,,,,,,63.0,92.0,83.0,71.0,Balance Sheet
Total Long Term Debt,,,,,,429.0,448.0,449.0,450.0,Balance Sheet
Total Debt,,,,,,429.0,448.0,449.0,450.0,Balance Sheet
Deferred Income Tax,,,,,,221.0,221.0,197.0,177.0,Balance Sheet
Minority Interest,,,,,,41.0,39.0,38.0,36.0,Balance Sheet
"Other Liabilities, Total",,,,,,10.0,11.0,11.0,13.0,Balance Sheet
Total Liabilities,,,,,,763.0,812.0,779.0,747.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,1092.0,1100.0,1101.0,1107.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-210.0,-226.0,-212.0,-212.0,Balance Sheet
Treasury Stock - Common,,,,,,,,,-1.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,,882.0,874.0,889.0,894.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,1645.0,1686.0,1668.0,1641.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,88.0,89.0,89.0,89.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,88.0,89.0,89.0,89.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,,,0.0,0.0,0.0,,Balance Sheet
Date,,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Income Statement
Total Revenue,,,,,,61125.0,62200.0,67564.0,67435.0,Income Statement
