,RPAY
% Above Low,0.8946
% Held by Institutions,0.8678
52-Wk Range,['4.37 - 19.71']
Annual Dividend $,
Annual Dividend %,
Ask,8.28
Ask Size,700.0
B/A Ratio,0.5714285714285714
B/A Size,400x700
Beta,0.9
Bid,8.25
Bid Size,400.0
Day Change $,-0.02
Day Change %,-0.0024
Day High,8.31
Day Low,8.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.13
Ex-dividend Date,No dividend
Historical Volatility,0.773
Last (size),100.0
Last (time),1:13p ET 11/28/22
Market Cap,745.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.29
Price,8.27
Short Interest,0.058499999999999996
Today's Open,8.17
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.04054054054054057
Growth 2yr High Est,0.17045454545454541
Growth 2yr Consensus Est,0.10549754299754299
Growth 5yr Low Est,0.04054054054054057
Growth 5yr High Est,0.17045454545454541
Growth 5yr Consensus Est,0.10549754299754299
Growth 5yr Actual/Est,0.09429508499630454
Growth 3yr Historic,0.060606060606060635
Price/Earnings (TTM),
Price/Sales (TTM),3.16308
Price/Book (MRQ),0.82436
Price/Cash Flow (TTM),8.40368
5yr Low,4.37
5yr High,28.42
5yr Avg Return,0.0928
Short Int Current Month,4487939.0
Short Int Prev Month,4407069.0
Short Int Pct of Float,0.058486
Days to Cover,1.91274
Float,84.39996
Shares Outstanding,98.56481
Institutions Holding Shares,207.0
FCF Growth 5yr,0.30848217811910655
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7539
Operating Profit Margin (TTM),-0.2181
Net Profit Margin (TTM),-0.051
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9993000000000001
EPS Growth (TTM),0.3923
Revenue Growth (MRQ),-0.0019
Revenue Growth (TTM),0.4761
Return On Equity (TTM),-0.0095
Return On Assets (TTM),-0.008
Return On Investment (TTM),-0.0086
Revenue Per Employee (TTM),467979.0
Total Debt/Total Capital (MRQ),0.326
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6.76
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-15 00:00:00
theStreet since,2022-03-15 00:00:00
ford since,2020-11-06 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
