,ACLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),4.02,12.61,Valuation,0.31879460745440125
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-2.0156,-0.0014000000000000002,Gowth rates,1439.7142857142856
EPS Growth (TTM),-1.7006000000000001,0.027200000000000002,Gowth rates,-62.52205882352941
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-2.5716,0.1967,Effectiveness,-13.07371631926792
Return On Assets (TTM),-0.7065,0.0016,Effectiveness,-441.5625
Return On Investment (TTM),-0.8031,0.0219,Effectiveness,-36.67123287671233
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.1882,0.4675,Financial strength,0.40256684491978606
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
