,ACLX
% Below High,0.19579999999999997
% Held by Institutions,0.9431
52-Wk Range,['6.04 - 26.91']
Annual Dividend $,
Annual Dividend %,
Ask,21.66
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,21.65
Bid Size,100.0
Closing Price,21.64
Day Change $,0.75
Day Change %,0.0359
Day High,21.72
Day Low,20.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.15
Ex-dividend Date,No dividend
Historical Volatility,0.909
Last (size),191.0
Last (time),1:00p ET 11/25/22
Market Cap,949.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,20.89
Short Interest,0.0788
Today's Open,20.91
Volume,115508.0
Volume 10-day Avg,465058.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.10134128166915046
Growth 2yr High Est,-0.4890219560878243
Growth 2yr Consensus Est,-0.2951816188784874
Growth 5yr Low Est,-0.10134128166915046
Growth 5yr High Est,-0.4890219560878243
Growth 5yr Consensus Est,-0.2951816188784874
Growth 5yr Actual/Est,-0.6252688127497963
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.01566
Price/Cash Flow (TTM),
5yr Low,6.04
5yr High,26.91
5yr Avg Return,0.1389
Short Int Current Month,2953527.0
Short Int Prev Month,2725255.0
Short Int Pct of Float,0.078796
Days to Cover,5.78353
Float,39.94862
Shares Outstanding,43.85389
Institutions Holding Shares,101.0
FCF Growth 5yr,0.18097273784998688
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.0156
EPS Growth (TTM),-1.7006000000000001
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-2.5716
Return On Assets (TTM),-0.7065
Return On Investment (TTM),-0.8031
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.1882
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-01 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
