,HCM
% Above Low,0.44930000000000003
% Held by Institutions,0.2324
52-Wk Range,['7.39 - 36.37']
Annual Dividend $,
Annual Dividend %,
Ask,11.6
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.0
Bid,10.71
Bid Size,900.0
Closing Price,10.71
Day Change $,0.26
Day Change %,0.024900000000000002
Day High,10.92
Day Low,10.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),742.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.45
Short Interest,0.0305
Today's Open,10.42
Volume,384757.0
Volume 10-day Avg,492870.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,2.285714285714286
Growth 1yr High Est,1.0
Growth 1yr Consensus Est,1.642857142857143
Growth 2yr Low Est,1.0357142857142858
Growth 2yr High Est,0.5595238095238095
Growth 2yr Consensus Est,0.7976190476190477
Growth 5yr Low Est,0.6904761904761906
Growth 5yr High Est,0.373015873015873
Growth 5yr Consensus Est,0.5317460317460317
Growth 5yr Actual/Est,0.29681853569105554
Growth 3yr Historic,0.3340277777777778
Price/Earnings (TTM),
Price/Sales (TTM),4.70306
Price/Book (MRQ),2.31569
Price/Cash Flow (TTM),
5yr Low,7.39
5yr High,43.94
5yr Avg Return,-0.07916666666666668
Short Int Current Month,2519011.0
Short Int Prev Month,2806471.0
Short Int Pct of Float,0.0304938
Days to Cover,6.13767
Float,88.72072
Shares Outstanding,172.9551
Institutions Holding Shares,187.0
FCF Growth 5yr,0.40591592171577834
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32060000000000005
Operating Profit Margin (TTM),-0.6487
Net Profit Margin (TTM),-0.5753
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7797000000000001
EPS Growth (TTM),-0.21050000000000002
Revenue Growth (MRQ),0.0165
Revenue Growth (TTM),0.4388
Return On Equity (TTM),-0.2859
Return On Assets (TTM),-0.1869
Return On Investment (TTM),-0.25379999999999997
Revenue Per Employee (TTM),227864.0
Total Debt/Total Capital (MRQ),0.0005
Change in Debt/Total Capital Quarter over Quarter,-0.0099
Quick Ratio (MRQ),3.03
Interest Coverage (MRQ),
newConstructs,rating-box
cfra,
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,
cfra since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
