,HCM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),4.7,18.12,Valuation,0.25938189845474613
Price/Book (MRQ),2.32,11.52,Valuation,0.2013888888888889
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.32060000000000005,0.6774,Profitability,0.47328018895777985
Operating Profit Margin (TTM),-0.6487,-0.8243,Profitability,0.7869707630716972
Net Profit Margin (TTM),-0.5753,-0.8643000000000001,Profitability,0.6656253615642717
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),-0.7797000000000001,0.0882,Gowth rates,-8.84013605442177
EPS Growth (TTM),-0.21050000000000002,0.5872999999999999,Gowth rates,-0.358419887621318
Revenue Growth (MRQ),0.0165,0.0441,Gowth rates,0.3741496598639456
Revenue Growth (TTM),0.4388,0.17600000000000002,Gowth rates,2.493181818181818
Return On Equity (TTM),-0.2859,0.3019,Effectiveness,-0.9470023186485591
Return On Assets (TTM),-0.1869,0.09210000000000002,Effectiveness,-2.0293159609120517
Return On Investment (TTM),-0.25379999999999997,0.1384,Effectiveness,-1.8338150289017339
Revenue Per Employee (TTM),227864.0,1426391.0,Effectiveness,0.15974862432530773
Total Debt/Total Capital (MRQ),0.0005,0.4169,Financial strength,0.0011993283761093788
Change in Debt/Total Capital Quarter over Quarter,-0.0099,0.0,Financial strength,-inf
Quick Ratio (MRQ),3.03,1.22,Financial strength,2.483606557377049
Interest Coverage (MRQ),,26.1,Financial strength,
