,WTFC
Price/Earnings (TTM),12.21105
Price/Sales (TTM),2.97188
Price/Book (MRQ),1.29049
Price/Cash Flow (TTM),10.35494
5yr Low,22.02
5yr High,105.56
5yr Avg Return,0.020683333333333328
EPS Growth 5yr,0.1567883
Revenue Growth 5yr,0.0943971
Dividend Growth 5yr,0.20902729999999997
Short Int Current Month,781365.0
Short Int Prev Month,958162.0
Short Int Pct of Float,0.0130477
Days to Cover,1.76645
Float,59.95927
Shares Outstanding,60.76527
Institutions Holding Shares,470.0
% Held by Institutions,0.915272
FCF Growth 5yr,0.15642406372853293
