,WTFC
% Above Low,0.1549
% Held by Institutions,0.9153
52-Wk Range,['76.13 - 105.56']
Annual Dividend $,1.36
Annual Dividend %,0.0151
Ask,92.76
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.2
Bid,68.0
Bid Size,600.0
Closing Price,87.92
Day Change $,-1.85
Day Change %,-0.0206
Day High,88.98
Day Low,87.68
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",7.35
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.326
Last (size),7.0
Last (time),4:00p ET 11/28/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.21
Prev Close,89.77
Short Interest,0.013000000000000001
Today's Open,88.85
Volume,256972.0
Volume 10-day Avg,378660.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.11217510259917929
Growth 1yr High Est,0.08545918367346927
Growth 1yr Consensus Est,0.09881714313632428
Growth 2yr Low Est,0.12988828930696972
Growth 2yr High Est,0.1949035048802129
Growth 2yr Consensus Est,0.1623958970935913
Growth 5yr Low Est,0.17282297402865598
Growth 5yr High Est,0.19461176989572093
Growth 5yr Consensus Est,0.18371737196218846
Growth 5yr Actual/Est,0.18597380207954092
Growth 3yr Historic,0.09894438066079855
Price/Earnings (TTM),12.21105
Price/Sales (TTM),2.97188
Price/Book (MRQ),1.29049
Price/Cash Flow (TTM),10.35494
5yr Low,22.02
5yr High,105.56
5yr Avg Return,0.020683333333333328
EPS Growth 5yr,0.1567883
Revenue Growth 5yr,0.0943971
Dividend Growth 5yr,0.20902729999999997
Short Int Current Month,781365.0
Short Int Prev Month,958162.0
Short Int Pct of Float,0.0130477
Days to Cover,1.76645
Float,59.95927
Shares Outstanding,60.76527
Institutions Holding Shares,470.0
FCF Growth 5yr,0.15642406372853293
"Price/Earnings (TTM, GAAP)",12.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.35000000000000003
Net Profit Margin (TTM),0.25260000000000005
Annual Dividend Yield,0.0151
Dividend Change %,0.10710000000000001
"Dividend Growth Rate, 3 Years",0.1773
EPS Growth (MRQ),0.48450000000000004
EPS Growth (TTM),-0.0368
Revenue Growth (MRQ),0.2541
Revenue Growth (TTM),0.1905
Return On Equity (TTM),0.106
Return On Assets (TTM),0.009300000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2021-05-11 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
