,FRC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.8,11.29,Valuation,1.3108945969884855
Price/Sales (TTM),3.92,3.28,Valuation,1.1951219512195121
Price/Book (MRQ),1.69,1.42,Valuation,1.1901408450704225
"PEG Ratio (TTM, GAAP)",1.94,1.08,Valuation,1.796296296296296
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.3677,0.3468,Profitability,1.0602652825836218
Net Profit Margin (TTM),0.2898,0.2848,Profitability,1.017556179775281
Annual Dividend Yield,0.0087,0.028999999999999998,Dividend,0.3
Dividend Change %,0.0886,-0.0087,Dividend,-10.183908045977011
"Dividend Growth Rate, 3 Years",0.066,0.0742,Dividend,0.8894878706199462
EPS Growth (MRQ),0.016200000000000003,-0.048,Gowth rates,-0.3375
EPS Growth (TTM),0.157,-0.10490000000000001,Gowth rates,-1.4966634890371782
Revenue Growth (MRQ),0.1535,0.5294,Gowth rates,0.2899508877975066
Revenue Growth (TTM),0.23320000000000002,0.22469999999999998,Gowth rates,1.037828215398309
Return On Equity (TTM),0.1204,0.1153,Effectiveness,1.044232437120555
Return On Assets (TTM),0.0089,0.0101,Effectiveness,0.8811881188118812
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003,0.0009,Financial strength,-4.333333333333334
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
