,FRC
% Above Low,0.1624
% Held by Institutions,0.9495999999999999
52-Wk Range,['106.86 - 217.36']
Annual Dividend $,1.08
Annual Dividend %,0.0087
Ask,165.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,104.88
Bid Size,100.0
Closing Price,124.21
Day Change $,0.09
Day Change %,0.0007000000000000001
Day High,124.73
Day Low,123.43
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",8.39
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.418
Last (size),4500.0
Last (time),5:00p ET 11/25/22
Market Cap,22.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.8
Prev Close,124.12
Short Interest,0.017
Today's Open,124.21
Volume,455883.0
Volume 10-day Avg,1409559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-12 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.08344549125168244
Growth 1yr High Est,0.0613810741687979
Growth 1yr Consensus Est,0.07241328271024017
Growth 2yr Low Est,-0.054550546299624636
Growth 2yr High Est,0.042738729855483215
Growth 2yr Consensus Est,-0.00590590822207071
Growth 5yr Low Est,0.08359180264531146
Growth 5yr High Est,0.13734930663022665
Growth 5yr Consensus Est,0.11047055463776906
Growth 5yr Actual/Est,0.0934261686167748
Growth 3yr Historic,0.10979163908380773
Price/Earnings (TTM),14.79793
Price/Sales (TTM),3.92133
Price/Book (MRQ),1.68548
Price/Cash Flow (TTM),17.92082
5yr Low,70.06
5yr High,222.86
5yr Avg Return,0.09049999999999998
EPS Growth 5yr,0.1431104
Revenue Growth 5yr,0.1722563
Dividend Growth 5yr,0.0642204
Short Int Current Month,3082287.0
Short Int Prev Month,1733170.0
Short Int Pct of Float,0.0169674
Days to Cover,1.18782
Float,181.697
Shares Outstanding,182.9254
Institutions Holding Shares,1022.0
FCF Growth 5yr,0.9429837640821735
"Price/Earnings (TTM, GAAP)",14.8
"PEG Ratio (TTM, GAAP)",1.94
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3677
Net Profit Margin (TTM),0.2898
Annual Dividend Yield,0.0087
Dividend Change %,0.0886
"Dividend Growth Rate, 3 Years",0.066
EPS Growth (MRQ),0.016200000000000003
EPS Growth (TTM),0.157
Revenue Growth (MRQ),0.1535
Revenue Growth (TTM),0.23320000000000002
Return On Equity (TTM),0.1204
Return On Assets (TTM),0.0089
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-08 00:00:00
researchTeam since,2022-05-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-23 00:00:00
ford since,2022-05-20 00:00:00
marketEdge opinion since,
