,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
high,98.03,106.75,118.43,147.24,222.86,209.3,,,,,,
low,86.26,79.42,83.68,70.06,143.6,106.86,,,,,,
change,-0.063,-0.0009,0.3572,0.2463,0.40240000000000004,-0.399,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,
Cash & Due from Banks,,,,,,,368.0,413.0,494.0,5532.0,Balance Sheet,
Interest-Earning Deposits,,,,,,,12579.0,7343.0,5743.0,,Balance Sheet,
Trading Account Assets,,,,,,,28.0,25.0,23.0,22.0,Balance Sheet,
FHLB Stock,,,,,,,115.0,115.0,297.0,,Balance Sheet,
Other Short Trm Invest.,,,,,,,1220.0,1231.0,1304.0,1285.0,Balance Sheet,
Securities Held,,,,,,,22292.0,26831.0,27710.0,28247.0,Balance Sheet,
Securities for Sale,,,,,,,3381.0,3446.0,3438.0,3348.0,Balance Sheet,
Total Invest. Securities,,,,,,,25673.0,30277.0,31148.0,31595.0,Balance Sheet,
Loans Held for Sale,,,,,,,1.0,,,,Balance Sheet,
"Other Erng. Assets, Total",,,,,,,39616.0,38991.0,38515.0,32902.0,Balance Sheet,
Total Gross Loans,,,,,,,134956.0,141313.0,151519.0,158767.0,Balance Sheet,
Loan Loss Allowances,,,,,,,-694.0,-701.0,-729.0,-760.0,Balance Sheet,
Net Loans,,,,,,,134262.0,140612.0,150790.0,158007.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,1786.0,1882.0,1919.0,483.0,Balance Sheet,
"Goodwill, Net",,,,,,,172.0,172.0,172.0,,Balance Sheet,
Intangibles - Gross,,,,,,,264.0,264.0,264.0,,Balance Sheet,
Accum. Intangible Amort.,,,,,,,-214.0,-215.0,-216.0,,Balance Sheet,
Intangibles - Net,,,,,,,50.0,49.0,48.0,219.0,Balance Sheet,
"Other Assets, Total",,,,,,,4833.0,5002.0,5970.0,7966.0,Balance Sheet,
Total Assets,,,,,,,181087.0,187121.0,197908.0,205109.0,Balance Sheet,
Accrued Expenses,,,,,,,1405.0,1496.0,1538.0,,Balance Sheet,
Non-Interest Bearing Dep.,,,,,,,70840.0,72424.0,75208.0,69931.0,Balance Sheet,
Interest Bearing Deposits,,,,,,,85481.0,89636.0,90439.0,102451.0,Balance Sheet,
Total Deposits,,,,,,,156321.0,162060.0,165647.0,172382.0,Balance Sheet,
"Other Bearing Lblts, Total",,,,,,,3700.0,3700.0,11000.0,11000.0,Balance Sheet,
Total Long Term Debt,,,,,,,1777.0,1778.0,1278.0,1279.0,Balance Sheet,
Total Debt,,,,,,,1777.0,1778.0,1278.0,1279.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,1986.0,1933.0,2019.0,3329.0,Balance Sheet,
Total Liabilities,,,,,,,165189.0,170967.0,181482.0,187990.0,Balance Sheet,
"Pref. Stock-Non Rdmbl, Net",,,,,,,3633.0,3633.0,3633.0,3633.0,Balance Sheet,
Common Stock,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet,
Additional Paid-In Capital,,,,,,,5725.0,5763.0,5782.0,6230.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,6569.0,6893.0,7236.0,7591.0,Balance Sheet,
"Other Equity, Total",,,,,,,-31.0,-137.0,-227.0,-337.0,Balance Sheet,
Total Equity,,,,,,,15898.0,16154.0,16426.0,17119.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,181087.0,187121.0,197908.0,205109.0,Balance Sheet,
