,VWE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,30.98,Valuation,
Price/Sales (TTM),0.6,5.41,Valuation,0.11090573012939
Price/Book (MRQ),0.5,12.08,Valuation,0.041390728476821195
"PEG Ratio (TTM, GAAP)",,1.83,Valuation,
Gross Profit Margin (TTM),0.306,0.5436,Profitability,0.5629139072847682
Operating Profit Margin (TTM),-0.0601,0.2061,Profitability,-0.2916060164968462
Net Profit Margin (TTM),-0.0089,0.1504,Profitability,-0.059175531914893616
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0435,Dividend,
"Dividend Growth Rate, 3 Years",,0.0233,Dividend,
EPS Growth (MRQ),1.0470000000000002,-56.8582,Gowth rates,-0.018414230489181862
EPS Growth (TTM),,-0.16890000000000002,Gowth rates,
Revenue Growth (MRQ),0.0308,0.11,Gowth rates,0.28
Revenue Growth (TTM),,0.1207,Gowth rates,
Return On Equity (TTM),-0.0067,0.37020000000000003,Effectiveness,-0.018098325229605618
Return On Assets (TTM),-0.0036,0.0808,Effectiveness,-0.04455445544554455
Return On Investment (TTM),-0.0048,0.1226,Effectiveness,-0.03915171288743882
Revenue Per Employee (TTM),539155.0,576805.0,Effectiveness,0.9347266407191338
Total Debt/Total Capital (MRQ),0.4732,0.5343,Financial strength,0.8856447688564477
Change in Debt/Total Capital Quarter over Quarter,-0.0001,-0.0009,Financial strength,0.11111111111111112
Quick Ratio (MRQ),0.52,1.07,Financial strength,0.48598130841121495
Interest Coverage (MRQ),,9.45,Financial strength,
