,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,10.28,13.48,12.36,,,,,
low,9.25,8.88,2.13,,,,,
change,0.04650000000000001,0.1204,-0.7458,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,75.0,69.0,44.0,45.0,Balance Sheet
"Trade Accts Recvble, Net",,,,26.0,40.0,38.0,38.0,Balance Sheet
Other Receivables,,,,19.0,14.0,4.0,3.0,Balance Sheet
"Total Receivables, Net",,,,45.0,53.0,42.0,41.0,Balance Sheet
Invent. - Finished Goods,,,,103.0,90.0,86.0,87.0,Balance Sheet
Invent. - Work In Progress,,,,8.0,21.0,16.0,18.0,Balance Sheet
Invent. - Raw Materials,,,,110.0,109.0,89.0,95.0,Balance Sheet
Inventories - Other,,,,2.0,2.0,1.0,1.0,Balance Sheet
Total Inventory,,,,222.0,221.0,192.0,202.0,Balance Sheet
Prepaid Expenses,,,,16.0,11.0,13.0,9.0,Balance Sheet
Restricted Cash - Current,,,,7.0,7.0,7.0,0.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,7.0,Balance Sheet
Other Current Assets,,,,,1.0,3.0,6.0,Balance Sheet
"Other Curr. Assets, Total",,,,7.0,7.0,9.0,12.0,Balance Sheet
Total Current Assets,,,,365.0,362.0,301.0,310.0,Balance Sheet
Buildings,,,,137.0,140.0,141.0,141.0,Balance Sheet
Land/Improvements,,,,34.0,36.0,36.0,30.0,Balance Sheet
Machinery/Equipment,,,,65.0,75.0,77.0,78.0,Balance Sheet
Construction in Progress,,,,13.0,13.0,17.0,18.0,Balance Sheet
Other Prop./Plant/Equip.,,,,33.0,35.0,36.0,68.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,281.0,299.0,308.0,336.0,Balance Sheet
Accumulated Depreciation,,,,-60.0,-65.0,-72.0,-72.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,221.0,234.0,236.0,264.0,Balance Sheet
"Goodwill, Net",,,,148.0,158.0,155.0,155.0,Balance Sheet
Intangibles - Gross,,,,62.0,68.0,70.0,70.0,Balance Sheet
Accum. Intangible Amort.,,,,-2.0,-3.0,-5.0,-7.0,Balance Sheet
Intangibles - Net,,,,60.0,65.0,64.0,63.0,Balance Sheet
Other Long Term Assets,,,,4.0,12.0,10.0,18.0,Balance Sheet
Total Assets,,,,798.0,831.0,766.0,810.0,Balance Sheet
Accounts Payable,,,,19.0,15.0,14.0,20.0,Balance Sheet
Accrued Expenses,,,,29.0,33.0,24.0,33.0,Balance Sheet
Notes Payable/ST Debt,,,,125.0,147.0,144.0,140.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,24.0,21.0,15.0,15.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,1.0,,,Balance Sheet
Total Current Liabilities,,,,198.0,217.0,197.0,208.0,Balance Sheet
Long Term Debt,,,,177.0,172.0,169.0,166.0,Balance Sheet
Capital Lease Obligations,,,,,,,0.0,Balance Sheet
Total Long Term Debt,,,,177.0,172.0,169.0,166.0,Balance Sheet
Total Debt,,,,327.0,340.0,328.0,321.0,Balance Sheet
Deferred Income Tax,,,,18.0,30.0,30.0,30.0,Balance Sheet
Minority Interest,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Liabilities, Total",,,,33.0,20.0,17.0,48.0,Balance Sheet
Total Liabilities,,,,426.0,440.0,415.0,453.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,,,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,361.0,373.0,378.0,382.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,11.0,21.0,-1.0,0.0,Balance Sheet
Treasury Stock - Common,,,,,-3.0,-26.0,-26.0,Balance Sheet
Total Equity,,,,372.0,391.0,351.0,357.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,798.0,831.0,766.0,810.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,60.0,61.0,59.0,59.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,3.0,3.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,83611.0,78933.0,75539.0,77862.0,Income Statement
"Cost of Revenue, Total",,,,45148.0,50916.0,75501.0,47714.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,25993.0,27035.0,34634.0,34244.0,Income Statement
Depreciation/Amortization,,,,,,,1811.0,Income Statement
"Inter/Invest Inc, Operating",,,,,,-3570.0,,Income Statement
Litigation,,,,0.0,0.0,-3000.0,-530.0,Income Statement
Impair-Assets Held for Use,,,,,,0.0,,Income Statement
Unusual Expense (Income),,,,-251.0,98.0,-3356.0,-982.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,-251.0,98.0,-356.0,-452.0,Income Statement
Total Operating Expense,,,,70890.0,78049.0,103209.0,82787.0,Income Statement
Total Operating Income,,,,12721.0,884.0,-27670.0,-4925.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-3493.0,-3729.0,-3085.0,-3381.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,2636.0,13841.0,5080.0,9327.0,Income Statement
OtherNon-OperatInc (Expnse),,,,-51.0,1957.0,-2681.0,271.0,Income Statement
"Other, Net",,,,-51.0,1957.0,-2681.0,271.0,Income Statement
Income Before Tax,,,,11813.0,12953.0,-28356.0,1292.0,Income Statement
Income Tax - Total,,,,3261.0,3543.0,-6936.0,658.0,Income Statement
