,VWE
% Above Low,0.4131
% Held by Institutions,0.517
52-Wk Range,['2.13 - 12.38']
Annual Dividend $,
Annual Dividend %,
Ask,3.02
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,2.91
Bid Size,200.0
Closing Price,3.01
Day Change $,-0.04
Day Change %,-0.0131
Day High,3.12
Day Low,2.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.04
Ex-dividend Date,No dividend
Historical Volatility,0.7759999999999999
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,185.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.05
Short Interest,0.0443
Today's Open,3.03
Volume,300566.0
Volume 10-day Avg,294418.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.5757575757575757
Growth 1yr High Est,-0.4285714285714285
Growth 1yr Consensus Est,-0.502164502164502
Growth 2yr Low Est,0.21212121212121215
Growth 2yr High Est,-0.035714285714285754
Growth 2yr Consensus Est,0.0882034632034632
Growth 5yr Low Est,0.21212121212121215
Growth 5yr High Est,-0.035714285714285754
Growth 5yr Consensus Est,0.08820346320346323
Growth 5yr Actual/Est,0.14195997239475502
Growth 3yr Historic,0.1333333333333333
Price/Earnings (TTM),
Price/Sales (TTM),0.59554
Price/Book (MRQ),0.50291
Price/Cash Flow (TTM),7.90712
5yr Low,2.13
5yr High,13.48
5yr Avg Return,-0.19296666666666668
Short Int Current Month,1473616.0
Short Int Prev Month,1629717.0
Short Int Pct of Float,0.0442887
Days to Cover,4.11303
Float,33.18524
Shares Outstanding,61.69105
Institutions Holding Shares,112.0
FCF Growth 5yr,-0.40749678067055695
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.306
Operating Profit Margin (TTM),-0.0601
Net Profit Margin (TTM),-0.0089
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0470000000000002
EPS Growth (TTM),
Revenue Growth (MRQ),0.0308
Revenue Growth (TTM),
Return On Equity (TTM),-0.0067
Return On Assets (TTM),-0.0036
Return On Investment (TTM),-0.0048
Revenue Per Employee (TTM),539155.0
Total Debt/Total Capital (MRQ),0.4732
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-15 00:00:00
theStreet since,2022-09-15 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
