,PRGS
% Below High,0.0139
% Held by Institutions,1.0312000000000001
52-Wk Range,['40.33 - 53.45']
Annual Dividend $,0.7
Annual Dividend %,0.0132
Ask,52.72
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,52.61
Bid Size,200.0
Day Change $,-0.45
Day Change %,-0.0085
Day High,53.0
Day Low,52.65
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.94
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.308
Last (size),1.0
Last (time),11:28a ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.34
Prev Close,53.15
Price,52.7
Short Interest,0.061799999999999994
Today's Open,52.73
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.10869565217391308
Growth 1yr High Est,0.11351351351351346
Growth 1yr Consensus Est,0.11110458284371327
Growth 2yr Low Est,0.07150468883205452
Growth 2yr High Est,0.09316452374704798
Growth 2yr Consensus Est,0.08233460628955125
Growth 5yr Low Est,0.12591863798814112
Growth 5yr High Est,0.13727775059532848
Growth 5yr Consensus Est,0.1315981942917348
Growth 5yr Actual/Est,0.12916378868694928
Growth 3yr Historic,0.10028151730609597
Price/Earnings (TTM),27.33772
Price/Sales (TTM),3.90651
Price/Book (MRQ),6.2276
Price/Cash Flow (TTM),14.52258
5yr Low,28.09
5yr High,53.99
5yr Avg Return,0.04278333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.055616000000000006
Dividend Growth 5yr,0.4113594
Short Int Current Month,2611978.0
Short Int Prev Month,2742493.0
Short Int Pct of Float,0.0617697
Days to Cover,10.81063
Float,42.28464
Shares Outstanding,42.99832
Institutions Holding Shares,358.0
FCF Growth 5yr,0.3831621474503803
"Price/Earnings (TTM, GAAP)",27.34
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8427
Operating Profit Margin (TTM),0.2086
Net Profit Margin (TTM),0.1475
Annual Dividend Yield,0.013200000000000002
Dividend Change %,0.060599999999999994
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),-0.2458
EPS Growth (TTM),0.0701
Revenue Growth (MRQ),0.0166
Revenue Growth (TTM),0.1391
Return On Equity (TTM),0.226
Return On Assets (TTM),0.0658
Return On Investment (TTM),0.0833
Revenue Per Employee (TTM),278181.0
Total Debt/Total Capital (MRQ),0.6279
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),7.45
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-05-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
