,FCX
% Above Low,0.498
% Held by Institutions,0.759
52-Wk Range,['24.80 - 51.99']
Annual Dividend $,0.6
Annual Dividend %,0.016200000000000003
Ask,39.0
Ask Size,300.0
B/A Ratio,2.3333333333333335
B/A Size,700x300
Beta,2.0
Bid,37.15
Bid Size,700.0
Closing Price,37.15
Day Change $,-0.89
Day Change %,-0.023399999999999997
Day High,38.04
Day Low,37.09
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",2.64
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.531
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,53.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.07
Prev Close,38.04
Short Interest,0.0184
Today's Open,37.88
Volume,5219807.0
Volume 10-day Avg,13074697.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.25259515570934254
Growth 1yr High Est,-0.16770186335403725
Growth 1yr Consensus Est,-0.2101485095316899
Growth 2yr Low Est,-0.49435313341022685
Growth 2yr High Est,0.0392833966811903
Growth 2yr Consensus Est,-0.22753486836451828
Growth 5yr Low Est,0.1303875358589891
Growth 5yr High Est,2.1101471628214696
Growth 5yr Consensus Est,1.1202673493402293
Growth 5yr Actual/Est,7.567570941967541
Growth 3yr Historic,7.699074074074074
Price/Earnings (TTM),14.06994
Price/Sales (TTM),2.29015
Price/Book (MRQ),3.55004
Price/Cash Flow (TTM),7.70787
5yr Low,4.82
5yr High,51.99
5yr Avg Return,0.26444999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.0902598
Dividend Growth 5yr,
Short Int Current Month,26207358.0
Short Int Prev Month,26776305.0
Short Int Pct of Float,0.0184321
Days to Cover,1.44497
Float,1421.837
Shares Outstanding,1429.327
Institutions Holding Shares,1481.0
FCF Growth 5yr,-0.0125735489617399
"Price/Earnings (TTM, GAAP)",14.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3622
Operating Profit Margin (TTM),0.3381
Net Profit Margin (TTM),0.2078
Annual Dividend Yield,0.016200000000000003
Dividend Change %,5.0
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),-0.5167
EPS Growth (TTM),0.0043
Revenue Growth (MRQ),-0.0763
Revenue Growth (TTM),0.0949
Return On Equity (TTM),0.2731
Return On Assets (TTM),0.09949999999999999
Return On Investment (TTM),0.14400000000000002
Revenue Per Employee (TTM),938704.0
Total Debt/Total Capital (MRQ),0.3066
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.76
Interest Coverage (MRQ),6.87
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-21 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-10-22 00:00:00
ford since,2022-05-20 00:00:00
marketEdge opinion since,
