,FCX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.07,8.1,Valuation,1.7370370370370372
Price/Sales (TTM),2.29,26.88,Valuation,0.08519345238095238
Price/Book (MRQ),3.55,2.96,Valuation,1.1993243243243243
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.3622,0.37450000000000006,Profitability,0.9671562082777035
Operating Profit Margin (TTM),0.3381,0.1534,Profitability,2.2040417209908734
Net Profit Margin (TTM),0.2078,-0.0742,Profitability,-2.800539083557952
Annual Dividend Yield,0.016200000000000003,0.0221,Dividend,0.7330316742081449
Dividend Change %,5.0,1.2752,Dividend,3.9209535759096616
"Dividend Growth Rate, 3 Years",0.14470000000000002,0.166,Dividend,0.8716867469879519
EPS Growth (MRQ),-0.5167,2.9881,Gowth rates,-0.17291924634383055
EPS Growth (TTM),0.0043,0.4999,Gowth rates,0.008601720344068814
Revenue Growth (MRQ),-0.0763,-0.0394,Gowth rates,1.936548223350254
Revenue Growth (TTM),0.0949,0.1966,Gowth rates,0.482706002034588
Return On Equity (TTM),0.2731,0.284,Effectiveness,0.9616197183098593
Return On Assets (TTM),0.09949999999999999,0.0867,Effectiveness,1.1476355247981544
Return On Investment (TTM),0.14400000000000002,0.171,Effectiveness,0.8421052631578948
Revenue Per Employee (TTM),938704.0,1551415.0,Effectiveness,0.6050631197970885
Total Debt/Total Capital (MRQ),0.3066,0.30510000000000004,Financial strength,1.0049164208456243
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0381,Financial strength,0.010498687664041995
Quick Ratio (MRQ),1.76,2.21,Financial strength,0.7963800904977376
Interest Coverage (MRQ),6.87,28.93,Financial strength,0.23746975458002076
