,TXN
% Below High,0.1346
% Held by Institutions,0.8306
52-Wk Range,['144.46 - 199.90']
Annual Dividend $,4.96
Annual Dividend %,0.027999999999999997
Ask,173.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,172.34
Bid Size,100.0
Closing Price,173.0
Day Change $,-4.07
Day Change %,-0.023
Day High,176.03
Day Low,172.38
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",9.55
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.318
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,157.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.54
Prev Close,177.07
Short Interest,0.0216
Today's Open,175.71
Volume,5358814.0
Volume 10-day Avg,5244702.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.16730523627075367
Growth 1yr High Est,0.1775
Growth 1yr Consensus Est,0.17240261813537683
Growth 2yr Low Est,-0.036697491273813554
Growth 2yr High Est,0.11210456475583863
Growth 2yr Consensus Est,0.03770353674101254
Growth 5yr Low Est,0.11774592891930621
Growth 5yr High Est,0.18992944168694043
Growth 5yr Consensus Est,0.1538376853031233
Growth 5yr Actual/Est,0.12839570648651513
Growth 3yr Historic,0.13261634323553756
Price/Earnings (TTM),18.54389
Price/Sales (TTM),7.95957
Price/Book (MRQ),11.10731
Price/Cash Flow (TTM),16.30848
5yr Low,87.7
5yr High,202.26
5yr Avg Return,0.11025
EPS Growth 5yr,0.18887530000000002
Revenue Growth 5yr,0.0653015
Dividend Growth 5yr,0.20749849999999997
Short Int Current Month,19541578.0
Short Int Prev Month,20713089.0
Short Int Pct of Float,0.02158
Days to Cover,3.2296
Float,905.7175
Shares Outstanding,907.5717
Institutions Holding Shares,2633.0
FCF Growth 5yr,0.21556608313952985
"Price/Earnings (TTM, GAAP)",18.54
"PEG Ratio (TTM, GAAP)",1.85
Gross Profit Margin (TTM),0.6951
Operating Profit Margin (TTM),0.5184000000000001
Net Profit Margin (TTM),0.4421
Annual Dividend Yield,0.027999999999999997
Dividend Change %,0.1317
"Dividend Growth Rate, 3 Years",0.1698
EPS Growth (MRQ),0.0089
EPS Growth (TTM),0.2256
Revenue Growth (MRQ),0.005600000000000001
Revenue Growth (TTM),0.1479
Return On Equity (TTM),0.6667000000000001
Return On Assets (TTM),0.3618
Return On Investment (TTM),0.4046
Revenue Per Employee (TTM),651290.0
Total Debt/Total Capital (MRQ),0.3536
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),4.06
Interest Coverage (MRQ),51.98
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2010-05-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2014-04-24 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
