,NEO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),2.61,6.06,Valuation,0.4306930693069307
Price/Book (MRQ),1.28,6.22,Valuation,0.20578778135048234
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.355,0.5095000000000001,Profitability,0.6967615309126594
Operating Profit Margin (TTM),-0.3479,0.0332,Profitability,-10.478915662650602
Net Profit Margin (TTM),-0.32880000000000004,-0.0454,Profitability,7.242290748898679
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.0409,-0.5094,Gowth rates,0.08029053788771104
EPS Growth (TTM),-4.8205,-0.2377,Gowth rates,20.279764408918805
Revenue Growth (MRQ),0.029700000000000004,0.1691,Gowth rates,0.17563571850975757
Revenue Growth (TTM),0.025099999999999997,0.1222,Gowth rates,0.20540098199672666
Return On Equity (TTM),-0.1519,1.1042,Effectiveness,-0.13756565839521825
Return On Assets (TTM),-0.0892,0.0644,Effectiveness,-1.3850931677018634
Return On Investment (TTM),-0.09369999999999999,0.0802,Effectiveness,-1.1683291770573565
Revenue Per Employee (TTM),248378.0,335561.0,Effectiveness,0.7401873280863986
Total Debt/Total Capital (MRQ),0.3455,0.3893,Financial strength,0.8874903673259696
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0252,Financial strength,0.03571428571428571
Quick Ratio (MRQ),6.82,1.51,Financial strength,4.516556291390729
Interest Coverage (MRQ),-259.84,33.07,Financial strength,-7.857272452373752
