,NEO
% Above Low,0.71
% Held by Institutions,0.8911
52-Wk Range,['6.00 - 38.17']
Annual Dividend $,
Annual Dividend %,
Ask,10.75
Ask Size,100.0
Ask close,12.55
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,9.29
Bid Size,200.0
Bid close,7.83
Change Since Close,-0.06| |(-0.58%)
Closing Price,10.26
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.32
Ex-dividend Date,No dividend
Historical Volatility,0.907
Last (size),2.0
Last (time),1:00p ET 11/25/22
Last Trade,10.2
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,10.26
Short Interest,0.05
Today's Open,
Volume,3.0
Volume 10-day Avg,1268595.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,1.6
Growth 1yr High Est,1.652173913043478
Growth 1yr Consensus Est,1.626086956521739
Growth 2yr Low Est,0.8320512820512821
Growth 2yr High Est,0.5883820384889522
Growth 2yr Consensus Est,0.7102166602701172
Growth 5yr Low Est,0.8320512820512821
Growth 5yr High Est,0.5883820384889522
Growth 5yr Consensus Est,0.7102166602701171
Growth 5yr Actual/Est,-0.5082261578466513
Growth 3yr Historic,-0.8290322580645162
Price/Earnings (TTM),
Price/Sales (TTM),2.60867
Price/Book (MRQ),1.28188
Price/Cash Flow (TTM),
5yr Low,6.0
5yr High,61.57
5yr Avg Return,0.24909999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.1587838
Dividend Growth 5yr,
Short Int Current Month,6100299.0
Short Int Prev Month,5574278.0
Short Int Pct of Float,0.0500057
Days to Cover,3.52729
Float,122.2381
Shares Outstanding,126.3033
Institutions Holding Shares,326.0
FCF Growth 5yr,0.17239877239877244
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.355
Operating Profit Margin (TTM),-0.3479
Net Profit Margin (TTM),-0.32880000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0409
EPS Growth (TTM),-4.8205
Revenue Growth (MRQ),0.029700000000000004
Revenue Growth (TTM),0.025099999999999997
Return On Equity (TTM),-0.1519
Return On Assets (TTM),-0.0892
Return On Investment (TTM),-0.09369999999999999
Revenue Per Employee (TTM),248378.0
Total Debt/Total Capital (MRQ),0.3455
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),6.82
Interest Coverage (MRQ),-259.84
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs since,2022-11-28 00:00:00
ford since,2022-02-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
