,BLBD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,24.01,Valuation,
Price/Sales (TTM),0.49,3.06,Valuation,0.16013071895424835
Price/Book (MRQ),16.32,7.44,Valuation,2.193548387096774
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.0734,0.32799999999999996,Profitability,0.2237804878048781
Operating Profit Margin (TTM),-0.0281,0.0198,Profitability,-1.4191919191919191
Net Profit Margin (TTM),-0.0298,-0.0086,Profitability,3.4651162790697674
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),0.4704,0.3518,Gowth rates,1.3371233655486072
EPS Growth (TTM),-2.5922000000000005,0.16149999999999998,Gowth rates,-16.050773993808054
Revenue Growth (MRQ),-0.0076,0.196,Gowth rates,-0.03877551020408163
Revenue Growth (TTM),-0.0492,0.1475,Gowth rates,-0.3335593220338983
Return On Equity (TTM),,0.2859,Effectiveness,
Return On Assets (TTM),-0.053,0.0851,Effectiveness,-0.6227967097532315
Return On Investment (TTM),-0.09369999999999999,0.12490000000000001,Effectiveness,-0.7502001601281023
Revenue Per Employee (TTM),410709.0,343373.0,Effectiveness,1.1961016154444293
Total Debt/Total Capital (MRQ),0.9086,0.6352000000000001,Financial strength,1.4304156171284632
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0189,Financial strength,-0.005291005291005292
Quick Ratio (MRQ),0.26,1.07,Financial strength,0.24299065420560748
Interest Coverage (MRQ),1.31,20.9,Financial strength,0.06267942583732058
