,BLBD
% Above Low,0.5725
% Held by Institutions,0.9114
52-Wk Range,['7.14 - 22.74']
Annual Dividend $,
Annual Dividend %,
Ask,13.2
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,9.75
Bid Size,300.0
Closing Price,11.22
Day Change $,-0.13
Day Change %,-0.0115
Day High,11.45
Day Low,11.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.81
Ex-dividend Date,No dividend
Historical Volatility,0.5670000000000001
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,359.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.35
Short Interest,0.0263
Today's Open,11.27
Volume,28190.0
Volume 10-day Avg,87635.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.16
Growth 2yr High Est,-3.4358974358974357
Growth 2yr Consensus Est,-2.797948717948718
Growth 5yr Low Est,-2.16
Growth 5yr High Est,-3.4358974358974357
Growth 5yr Consensus Est,-2.797948717948718
Growth 5yr Actual/Est,-1.5648155038270661
Growth 3yr Historic,-0.27815861233146494
Price/Earnings (TTM),
Price/Sales (TTM),0.48876
Price/Book (MRQ),16.32499
Price/Cash Flow (TTM),
5yr Low,7.14
5yr High,28.9
5yr Avg Return,-0.06441666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.060003
Dividend Growth 5yr,
Short Int Current Month,568563.0
Short Int Prev Month,672565.0
Short Int Pct of Float,0.0262749
Days to Cover,5.27874
Float,21.63904
Shares Outstanding,32.02491
Institutions Holding Shares,113.0
FCF Growth 5yr,0.6424569843117903
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0734
Operating Profit Margin (TTM),-0.0281
Net Profit Margin (TTM),-0.0298
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4704
EPS Growth (TTM),-2.5922000000000005
Revenue Growth (MRQ),-0.0076
Revenue Growth (TTM),-0.0492
Return On Equity (TTM),
Return On Assets (TTM),-0.053
Return On Investment (TTM),-0.09369999999999999
Revenue Per Employee (TTM),410709.0
Total Debt/Total Capital (MRQ),0.9086
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.26
Interest Coverage (MRQ),1.31
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-08-06 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-06-14 00:00:00
theStreet since,
