,MOH
% Below High,0.1255
% Held by Institutions,0.9670000000000001
52-Wk Range,['249.78 - 374.00']
Annual Dividend $,
Annual Dividend %,
Ask,345.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,327.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.34
Ex-dividend Date,No dividend
Historical Volatility,0.304
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,19.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.82
Prev Close,327.08
Short Interest,0.0183
Today's Open,
Volume,228163.0
Volume 10-day Avg,547889.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.33458646616541343
Growth 1yr High Est,0.3200589970501473
Growth 1yr Consensus Est,0.32732273160778036
Growth 2yr Low Est,0.21658900773059409
Growth 2yr High Est,0.2186887164021687
Growth 2yr Consensus Est,0.2176388620663814
Growth 5yr Low Est,0.14843411992114347
Growth 5yr High Est,0.14908794794467412
Growth 5yr Consensus Est,0.1487610339329088
Growth 5yr Actual/Est,0.15246642485518996
Growth 3yr Historic,0.04779776576950212
Price/Earnings (TTM),22.81585
Price/Sales (TTM),0.61301
Price/Book (MRQ),6.23829
Price/Cash Flow (TTM),19.04434
5yr Low,71.07
5yr High,374.0
5yr Avg Return,0.2999333333333334
EPS Growth 5yr,0.6467763
Revenue Growth 5yr,0.0932568
Dividend Growth 5yr,
Short Int Current Month,1059710.0
Short Int Prev Month,1032722.0
Short Int Pct of Float,0.0183147
Days to Cover,1.98167
Float,57.82642
Shares Outstanding,58.4
Institutions Holding Shares,825.0
FCF Growth 5yr,0.16563474089695282
"Price/Earnings (TTM, GAAP)",22.82
"PEG Ratio (TTM, GAAP)",1.22
Gross Profit Margin (TTM),0.1481
Operating Profit Margin (TTM),0.0404
Net Profit Margin (TTM),0.0269
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.071
EPS Growth (TTM),0.4236
Revenue Growth (MRQ),-0.0158
Revenue Growth (TTM),0.21730000000000002
Return On Equity (TTM),0.3019
Return On Assets (TTM),0.0704
Return On Investment (TTM),0.15960000000000002
Revenue Per Employee (TTM),2225714.0
Total Debt/Total Capital (MRQ),0.4403
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.54
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-11 00:00:00
theStreet since,2020-04-14 00:00:00
cfra since,2021-07-29 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
