,MOH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.82,29.13,Valuation,0.7833848266392036
Price/Sales (TTM),0.61,1.32,Valuation,0.4621212121212121
Price/Book (MRQ),6.24,4.31,Valuation,1.4477958236658934
"PEG Ratio (TTM, GAAP)",1.22,0.26,Valuation,4.692307692307692
Gross Profit Margin (TTM),0.1481,0.1318,Profitability,1.1236722306525038
Operating Profit Margin (TTM),0.0404,0.0458,Profitability,0.8820960698689956
Net Profit Margin (TTM),0.0269,0.0242,Profitability,1.1115702479338843
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.071,-0.1478,Gowth rates,0.4803788903924222
EPS Growth (TTM),0.4236,-1.101,Gowth rates,-0.3847411444141689
Revenue Growth (MRQ),-0.0158,0.0931,Gowth rates,-0.16970998925886147
Revenue Growth (TTM),0.21730000000000002,0.1191,Gowth rates,1.8245172124265325
Return On Equity (TTM),0.3019,7.2022,Effectiveness,0.04191774735497487
Return On Assets (TTM),0.0704,0.0403,Effectiveness,1.7468982630272953
Return On Investment (TTM),0.15960000000000002,0.016,Effectiveness,9.975000000000001
Revenue Per Employee (TTM),2225714.0,1375304.0,Effectiveness,1.6183432899199013
Total Debt/Total Capital (MRQ),0.4403,0.4855,Financial strength,0.9069001029866118
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0015,Financial strength,-0.7999999999999999
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),12.54,9.55,Financial strength,1.313089005235602
