,PINS
% Above Low,0.5242
% Held by Institutions,0.8521
52-Wk Range,['16.14 - 43.24']
Annual Dividend $,
Annual Dividend %,
Ask,24.6
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.0
Bid,24.59
Bid Size,800.0
Day Change $,-0.39
Day Change %,-0.015600000000000001
Day High,24.95
Day Low,24.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.14
Ex-dividend Date,No dividend
Historical Volatility,0.783
Last (size),100.0
Last (time),10:52a ET 11/28/22
Market Cap,16.7B
"P/E Ratio (TTM, GAAP)",180.38
Prev Close,24.99
Price,24.6
Short Interest,0.0537
Today's Open,24.65
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.5368421052631579
Growth 1yr High Est,-0.32203389830508466
Growth 1yr Consensus Est,-0.4294380017841213
Growth 2yr Low Est,-0.26842105263157895
Growth 2yr High Est,-0.03601694915254233
Growth 2yr Consensus Est,-0.15221900089206064
Growth 5yr Low Est,-0.26842105263157895
Growth 5yr High Est,-0.03601694915254233
Growth 5yr Consensus Est,-0.15221900089206064
Growth 5yr Actual/Est,inf
Growth 3yr Historic,inf
Price/Earnings (TTM),180.3811
Price/Sales (TTM),6.11431
Price/Book (MRQ),5.38137
Price/Cash Flow (TTM),177.9496
5yr Low,10.1
5yr High,89.9
5yr Avg Return,0.3777499999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.5387251
Dividend Growth 5yr,
Short Int Current Month,31253721.0
Short Int Prev Month,32395023.0
Short Int Pct of Float,0.0536843
Days to Cover,2.15377
Float,582.7232
Shares Outstanding,678.2309
Institutions Holding Shares,881.0
FCF Growth 5yr,0.006647122894074838
"Price/Earnings (TTM, GAAP)",180.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7709999999999999
Operating Profit Margin (TTM),0.0259
Net Profit Margin (TTM),0.0221
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4975
EPS Growth (TTM),-0.7482
Revenue Growth (MRQ),0.027999999999999997
Revenue Growth (TTM),0.1375
Return On Equity (TTM),0.0209
Return On Assets (TTM),0.0179
Return On Investment (TTM),0.0195
Revenue Per Employee (TTM),859541.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-86.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2022-08-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-19 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
