,PINS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",180.38,18.12,Valuation,9.95474613686534
Price/Sales (TTM),6.11,4.52,Valuation,1.351769911504425
Price/Book (MRQ),5.38,5.02,Valuation,1.0717131474103587
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.7709999999999999,0.6097,Profitability,1.2645563391832046
Operating Profit Margin (TTM),0.0259,0.24480000000000002,Profitability,0.10580065359477123
Net Profit Margin (TTM),0.0221,0.1981,Profitability,0.1115598182735992
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.4975,-0.2712,Gowth rates,1.8344395280235988
EPS Growth (TTM),-0.7482,-0.0227,Gowth rates,32.960352422907484
Revenue Growth (MRQ),0.027999999999999997,0.7634000000000001,Gowth rates,0.036678019386953094
Revenue Growth (TTM),0.1375,1.7572999999999999,Gowth rates,0.07824503499687022
Return On Equity (TTM),0.0209,0.2407,Effectiveness,0.08683007893643539
Return On Assets (TTM),0.0179,0.16899999999999998,Effectiveness,0.10591715976331362
Return On Investment (TTM),0.0195,0.20510000000000003,Effectiveness,0.09507557289127254
Revenue Per Employee (TTM),859541.0,1707732.0,Effectiveness,0.5033231209580894
Total Debt/Total Capital (MRQ),0.0,0.0821,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.028999999999999998,Financial strength,
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),-86.94,29.8,Financial strength,-2.91744966442953
