,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,36.83,75.44,89.9,36.95,,,,,
low,17.39,10.1,34.07,16.14,,,,,
change,-0.2152,2.5053,-0.44920000000000004,-0.3299,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,1420.0,1684.0,1642.0,1671.0,Balance Sheet
Short Term Investments,,,,,1060.0,994.0,1018.0,994.0,Balance Sheet
Cash and Short Term Invs,,,,,2480.0,2678.0,2659.0,2665.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,662.0,481.0,520.0,521.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-8.0,-8.0,-9.0,-10.0,Balance Sheet
"Total Receivables, Net",,,,,653.0,473.0,511.0,511.0,Balance Sheet
Prepaid Expenses,,,,,48.0,56.0,76.0,86.0,Balance Sheet
Total Current Assets,,,,,3182.0,3207.0,3246.0,3262.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,281.0,277.0,284.0,273.0,Balance Sheet
"Goodwill, Net",,,,,,,,100.0,Balance Sheet
Intangibles - Gross,,,,,,,,58.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,,-18.0,Balance Sheet
Intangibles - Net,,,,,61.0,60.0,146.0,40.0,Balance Sheet
Other Long Term Assets,,,,,13.0,13.0,18.0,17.0,Balance Sheet
Total Assets,,,,,3537.0,3558.0,3694.0,3692.0,Balance Sheet
Accounts Payable,,,,,18.0,13.0,58.0,89.0,Balance Sheet
Accrued Expenses,,,,,242.0,213.0,293.0,256.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,,260.0,226.0,351.0,345.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,239.0,233.0,207.0,203.0,Balance Sheet
Total Liabilities,,,,,498.0,459.0,558.0,548.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,5060.0,5134.0,5216.0,5293.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-2019.0,-2024.0,-2067.0,-2132.0,Balance Sheet
"Other Equity, Total",,,,,-2.0,-10.0,-13.0,-16.0,Balance Sheet
Total Equity,,,,,3039.0,3100.0,3136.0,3145.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,3537.0,3558.0,3694.0,3692.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,568.0,574.0,580.0,587.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,89.0,89.0,90.0,91.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,657.0,662.0,670.0,677.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,847.0,575.0,666.0,685.0,Income Statement
"Cost of Revenue, Total",,,,,141.0,146.0,165.0,183.0,Income Statement
Selling/Gen/Admin Expense,,,,,263.0,218.0,267.0,272.0,Income Statement
Labor & Related Expense,,,,,22.0,19.0,35.0,44.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,285.0,237.0,302.0,317.0,Income Statement
Research & Development,,,,,241.0,196.0,234.0,255.0,Income Statement
Total Operating Expense,,,,,667.0,579.0,700.0,754.0,Income Statement
Total Operating Income,,,,,179.0,-4.0,-35.0,-69.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,-3.0,-2.0,-9.0,-10.0,Income Statement
Income Before Tax,,,,,177.0,-4.0,-40.0,-70.0,Income Statement
Income Tax - Total,,,,,2.0,1.0,3.0,-5.0,Income Statement
Income After Tax,,,,,175.0,-5.0,-43.0,-65.0,Income Statement
Net Inc Before Extra Items,,,,,175.0,-5.0,-43.0,-65.0,Income Statement
Total Net Income,,,,,175.0,-5.0,-43.0,-65.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,175.0,-5.0,-43.0,-65.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,175.0,-5.0,-43.0,-65.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,651.0,657.0,662.0,669.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.27,-0.01,-0.07,-0.1,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.27,-0.01,-0.07,-0.1,Income Statement
Dilution Adjustment,,,,,39.0,,,,Income Statement
Diluted Weighted Average Shares,,,,,690.0,657.0,662.0,669.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.31,-0.01,-0.07,-0.1,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.31,-0.01,-0.07,-0.1,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,7.0,7.0,9.0,5.0,Income Statement
Total Special Items,,,,,25.0,,,,Income Statement
Normalzd Income Before Tax,,,,,202.0,-4.0,-40.0,-70.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,2.0,1.0,3.0,-5.0,Income Statement
Normalized Income After Tax,,,,,199.0,-5.0,-43.0,-65.0,Income Statement
Normalzd Inc Avail to Common,,,,,199.0,-5.0,-43.0,-65.0,Income Statement
Basic Normalized EPS,,,,,0.31,-0.01,-0.07,-0.1,Income Statement
Diluted Normalized EPS,,,,,0.34,-0.01,-0.07,-0.1,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,316.0,-5.0,-48.0,-114.0,Cash Flow
Depreciation/Depletion,,,,,28.0,7.0,16.0,27.0,Cash Flow
Unusual Items,,,,,45.0,0.0,0.0,0.0,Cash Flow
Other Non-Cash Items,,,,,425.0,76.0,203.0,338.0,Cash Flow
Non-Cash Items,,,,,470.0,76.0,203.0,338.0,Cash Flow
Accounts Receivable,,,,,-89.0,180.0,144.0,144.0,Cash Flow
Prepaid Expenses,,,,,-15.0,-8.0,-31.0,-38.0,Cash Flow
Other Assets,,,,,44.0,12.0,25.0,39.0,Cash Flow
Accounts Payable,,,,,-33.0,-5.0,41.0,72.0,Cash Flow
Accrued Expenses,,,,,32.0,-44.0,-16.0,-57.0,Cash Flow
Changes in Working Capital,,,,,-61.0,135.0,162.0,160.0,Cash Flow
Total Cash from Operations,,,,,753.0,213.0,333.0,411.0,Cash Flow
Capital Expenditures,,,,,-9.0,-7.0,-20.0,-28.0,Cash Flow
Acquisition of Business,,,,,-37.0,,-86.0,-86.0,Cash Flow
Sale/Maturity of Investment,,,,,1124.0,211.0,398.0,740.0,Cash Flow
Purchase of Investments,,,,,-1104.0,-155.0,-368.0,-688.0,Cash Flow
Other Investing Cash Flow,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-17.0,56.0,-56.0,-34.0,Cash Flow
Total Cash from Investing,,,,,-26.0,49.0,-76.0,-62.0,Cash Flow
Financing Cash Flow Items,,,,,-2.0,,,0.0,Cash Flow
Sale/Issuance of Common,,,,,0.0,,,,Cash Flow
Repurch/Retirement Common,,,,,,,-38.0,-98.0,Cash Flow
"Common Stock, Net",,,,,0.0,,-38.0,-98.0,Cash Flow
Options Exercised,,,,,24.0,1.0,4.0,5.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,24.0,1.0,-34.0,-94.0,Cash Flow
Total Cash From Financing,,,,,22.0,1.0,-34.0,-94.0,Cash Flow
Foreign Exchange Effects,,,,,-1.0,0.0,-2.0,-4.0,Cash Flow
Net Change in Cash,,,,,748.0,264.0,222.0,252.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,679.0,1427.0,1427.0,1427.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,1427.0,1691.0,1649.0,1679.0,Cash Flow
"Depreciation, Supplemental",,,,,28.0,7.0,16.0,27.0,Cash Flow
Free Cash Flow,,,,,744.0,206.0,313.0,383.0,
FCF Growth,,,,,,-0.7231182795698925,0.5194174757281553,0.22364217252396168,
