,FRME
% Below High,0.054900000000000004
% Held by Institutions,0.7284999999999999
52-Wk Range,['34.07 - 46.12']
Annual Dividend $,1.28
Annual Dividend %,0.0294
Ask,69.72
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,37.46
Bid Size,200.0
Closing Price,43.59
Day Change $,0.01
Day Change %,0.0002
Day High,43.86
Day Low,43.43
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.275
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.41
Prev Close,43.58
Short Interest,0.0088
Today's Open,43.78
Volume,59317.0
Volume 10-day Avg,141765.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.0026385224274406704
Growth 1yr High Est,-0.018041237113401998
Growth 1yr Consensus Est,-0.010339879770421334
Growth 2yr Low Est,0.0939188340243749
Growth 2yr High Est,0.13008699299185544
Growth 2yr Consensus Est,0.11200291350811517
Growth 5yr Low Est,0.09680118916408617
Growth 5yr High Est,0.1181684964959277
Growth 5yr Consensus Est,0.10748484283000694
Growth 5yr Actual/Est,0.12239459002601602
Growth 3yr Historic,0.06236127954602655
Price/Earnings (TTM),12.41258
Price/Sales (TTM),4.45985
Price/Book (MRQ),1.37023
Price/Cash Flow (TTM),12.39064
5yr Low,21.18
5yr High,50.65
5yr Avg Return,0.014966666666666663
EPS Growth 5yr,0.1401316
Revenue Growth 5yr,0.1201052
Dividend Growth 5yr,0.1591428
Short Int Current Month,516381.0
Short Int Prev Month,719368.0
Short Int Pct of Float,0.0087997
Days to Cover,3.47394
Float,58.70856
Shares Outstanding,59.56263
Institutions Holding Shares,280.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",12.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3898
Net Profit Margin (TTM),0.3419
Annual Dividend Yield,0.0294
Dividend Change %,0.08650000000000001
"Dividend Growth Rate, 3 Years",0.1039
EPS Growth (MRQ),0.6419
EPS Growth (TTM),-0.0641
Revenue Growth (MRQ),0.1572
Revenue Growth (TTM),0.1648
Return On Equity (TTM),0.1057
Return On Assets (TTM),0.0121
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0049
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-10 00:00:00
researchTeam since,2021-08-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
