,TSN
% Above Low,0.0412
% Held by Institutions,0.8388
52-Wk Range,['62.94 - 100.72']
Annual Dividend $,1.92
Annual Dividend %,0.0285
Ask,65.85
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,65.5
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,65.53
Day Change $,-1.8
Day Change %,-0.026699999999999998
Day High,66.7
Day Low,64.79
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.91
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.273
Last (size),280.0
Last (time),7:00p ET 11/28/22
Last Trade,65.54
Market Cap,23.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.55
Prev Close,67.33
Short Interest,0.013999999999999999
Today's Open,65.87
Volume,4496862.0
Volume 10-day Avg,3893020.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.1992187499999999
Growth 1yr High Est,-0.23948220064724912
Growth 1yr Consensus Est,-0.2193504753236245
Growth 2yr Low Est,-0.16790205792682927
Growth 2yr High Est,-0.09491840528816348
Growth 2yr Consensus Est,-0.13141023160749637
Growth 5yr Low Est,-0.08722608057592814
Growth 5yr High Est,-0.05213066484093842
Growth 5yr Consensus Est,-0.06967837270843329
Growth 5yr Actual/Est,0.06878369082876665
Growth 3yr Historic,0.12171844441101248
Price/Earnings (TTM),7.55247
Price/Sales (TTM),0.4544
Price/Book (MRQ),1.23027
Price/Cash Flow (TTM),5.43094
5yr Low,42.57
5yr High,100.72
5yr Avg Return,0.030883333333333332
EPS Growth 5yr,0.1322016
Revenue Growth 5yr,0.0684818
Dividend Growth 5yr,0.1537589
Short Int Current Month,3953669.0
Short Int Prev Month,4269246.0
Short Int Pct of Float,0.013968799999999998
Days to Cover,1.16836
Float,283.2964
Shares Outstanding,359.5893
Institutions Holding Shares,1193.0
FCF Growth 5yr,0.09435919553630878
"Price/Earnings (TTM, GAAP)",7.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1251
Operating Profit Margin (TTM),0.0828
Net Profit Margin (TTM),0.061
Annual Dividend Yield,0.0285
Dividend Change %,0.1323
"Dividend Growth Rate, 3 Years",0.0705
EPS Growth (MRQ),-0.2787
EPS Growth (TTM),0.0621
Revenue Growth (MRQ),0.0179
Revenue Growth (TTM),0.1325
Return On Equity (TTM),0.17300000000000001
Return On Assets (TTM),0.0889
Return On Investment (TTM),0.1061
Revenue Per Employee (TTM),375225.0
Total Debt/Total Capital (MRQ),0.2958
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.77
Interest Coverage (MRQ),10.08
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2020-08-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-02-11 00:00:00
ford since,2022-06-17 00:00:00
marketEdge opinion since,
