,TSN
Price/Earnings (TTM),7.55247
Price/Sales (TTM),0.4544
Price/Book (MRQ),1.23027
Price/Cash Flow (TTM),5.43094
5yr Low,42.57
5yr High,100.72
5yr Avg Return,0.030883333333333332
EPS Growth 5yr,0.1322016
Revenue Growth 5yr,0.0684818
Dividend Growth 5yr,0.1537589
Short Int Current Month,3953669.0
Short Int Prev Month,4269246.0
Short Int Pct of Float,0.013968799999999998
Days to Cover,1.16836
Float,283.2964
Shares Outstanding,359.5893
Institutions Holding Shares,1193.0
% Held by Institutions,0.838797
FCF Growth 5yr,0.09435919553630878
