,IGMS
% Above Low,0.6803
% Held by Institutions,0.6064
52-Wk Range,['12.67 - 55.71']
Annual Dividend $,
Annual Dividend %,
Ask,28.0
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,
Bid,18.89
Bid Size,700.0
Closing Price,21.29
Day Change $,-0.81
Day Change %,-0.036699999999999997
Day High,21.9
Day Low,20.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.68
Ex-dividend Date,No dividend
Historical Volatility,1.2770000000000001
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,911.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.1
Short Interest,0.19870000000000002
Today's Open,21.9
Volume,73902.0
Volume 10-day Avg,368315.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-29 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.13733075435203101
Growth 1yr High Est,-0.5228310502283104
Growth 1yr Consensus Est,-0.19275014793813972
Growth 2yr Low Est,0.1366925880603692
Growth 2yr High Est,0.3940868672303426
Growth 2yr Consensus Est,0.2653897276453559
Growth 5yr Low Est,0.36674676659855
Growth 5yr High Est,0.5041943944265276
Growth 5yr Consensus Est,0.4354705805125388
Growth 5yr Actual/Est,0.14310426553510155
Growth 3yr Historic,0.10311517295597486
Price/Earnings (TTM),
Price/Sales (TTM),1308.144
Price/Book (MRQ),2.77676
Price/Cash Flow (TTM),
5yr Low,12.67
5yr High,133.0
5yr Avg Return,0.36307500000000004
Short Int Current Month,3559170.0
Short Int Prev Month,3373504.0
Short Int Pct of Float,0.1986616
Days to Cover,10.86239
Float,17.94944
Shares Outstanding,42.82651
Institutions Holding Shares,143.0
FCF Growth 5yr,-1.3164951639745015
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-319.0416
Net Profit Margin (TTM),-314.4448
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0121
EPS Growth (TTM),-0.3473
Revenue Growth (MRQ),-0.0956
Revenue Growth (TTM),
Return On Equity (TTM),-0.7142000000000001
Return On Assets (TTM),-0.502
Return On Investment (TTM),-0.5423
Revenue Per Employee (TTM),3630.21
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
