,IGMS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),1308.14,45.03,Valuation,29.050410837219633
Price/Book (MRQ),2.78,12.61,Valuation,0.2204599524187153
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-319.0416,-4.7459,Profitability,67.22467814323943
Net Profit Margin (TTM),-314.4448,-4.5467,Profitability,69.15890645963005
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0121,-0.0014000000000000002,Gowth rates,-8.64285714285714
EPS Growth (TTM),-0.3473,0.027200000000000002,Gowth rates,-12.768382352941176
Revenue Growth (MRQ),-0.0956,1.3963999999999999,Gowth rates,-0.06846175880836437
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.7142000000000001,0.1967,Effectiveness,-3.6309100152516525
Return On Assets (TTM),-0.502,0.0016,Effectiveness,-313.75
Return On Investment (TTM),-0.5423,0.0219,Effectiveness,-24.762557077625573
Revenue Per Employee (TTM),3630.21,1476201.0,Effectiveness,0.0024591569847195608
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
