,ERII,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",83.38,24.01,Valuation,3.4727197001249475
Price/Sales (TTM),10.67,3.06,Valuation,3.4869281045751634
Price/Book (MRQ),7.36,7.44,Valuation,0.989247311827957
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.6898000000000001,0.32799999999999996,Profitability,2.1030487804878053
Operating Profit Margin (TTM),0.1386,0.0198,Profitability,6.999999999999999
Net Profit Margin (TTM),0.1334,-0.0086,Profitability,-15.511627906976743
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),2.9893,0.3518,Gowth rates,8.497157475838545
EPS Growth (TTM),0.2488,0.16149999999999998,Gowth rates,1.5405572755417958
Revenue Growth (MRQ),0.5012,0.196,Gowth rates,2.557142857142857
Revenue Growth (TTM),0.20800000000000002,0.1475,Gowth rates,1.410169491525424
Return On Equity (TTM),0.0901,0.2859,Effectiveness,0.3151451556488283
Return On Assets (TTM),0.0762,0.0851,Effectiveness,0.8954171562867216
Return On Investment (TTM),0.083,0.12490000000000001,Effectiveness,0.6645316253002401
Revenue Per Employee (TTM),526468.0,343373.0,Effectiveness,1.5332248021830488
Total Debt/Total Capital (MRQ),0.0,0.6352000000000001,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0189,Financial strength,
Quick Ratio (MRQ),6.31,1.07,Financial strength,5.897196261682242
Interest Coverage (MRQ),,20.9,Financial strength,
