,ERII
Price/Earnings (TTM),83.37701
Price/Sales (TTM),10.66969
Price/Book (MRQ),7.36396
Price/Cash Flow (TTM),55.84301
5yr Low,6.11
5yr High,26.34
5yr Avg Return,0.18355
EPS Growth 5yr,0.2826202
Revenue Growth 5yr,0.1245142
Dividend Growth 5yr,
Short Int Current Month,2889901.0
Short Int Prev Month,3048260.0
Short Int Pct of Float,0.05744030000000001
Days to Cover,3.56374
Float,50.32665
Shares Outstanding,55.99597
Institutions Holding Shares,244.0
% Held by Institutions,0.8411069999999999
FCF Growth 5yr,-1.4279286607753037
