,RIVN
% Above Low,0.4987
% Held by Institutions,0.6862
52-Wk Range,['19.25 - 126.75']
Annual Dividend $,
Annual Dividend %,
Ask,28.86
Ask Size,200.0
B/A Ratio,4.0
B/A Size,800x200
Beta,
Bid,28.84
Bid Size,800.0
Day Change $,-0.68
Day Change %,-0.023
Day High,29.56
Day Low,28.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-17.6
Ex-dividend Date,No dividend
Historical Volatility,0.9
Last (size),100.0
Last (time),12:49p ET 11/28/22
Market Cap,26.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.53
Price,28.85
Short Interest,0.06480000000000001
Today's Open,29.1
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.006090133982947554
Growth 2yr High Est,-0.3311897106109324
Growth 2yr Consensus Est,-0.16254978831399242
Growth 5yr Low Est,0.006090133982947554
Growth 5yr High Est,-0.3311897106109324
Growth 5yr Consensus Est,-0.16254978831399242
Growth 5yr Actual/Est,-0.35100896360392403
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),25.92548
Price/Book (MRQ),1.7733
Price/Cash Flow (TTM),
5yr Low,19.25
5yr High,179.47
5yr Avg Return,-0.3779
Short Int Current Month,46074371.0
Short Int Prev Month,44119669.0
Short Int Pct of Float,0.06480749999999999
Days to Cover,3.04766
Float,801.3713
Shares Outstanding,920.9558
Institutions Holding Shares,750.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-1.7255000000000003
Operating Profit Margin (TTM),-7.1478
Net Profit Margin (TTM),-7.1401
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.004
EPS Growth (TTM),-0.2787
Revenue Growth (MRQ),0.47250000000000003
Revenue Growth (TTM),1048.0
Return On Equity (TTM),-1.2771
Return On Assets (TTM),-0.5445000000000001
Return On Investment (TTM),-0.6151
Revenue Per Employee (TTM),100653.0
Total Debt/Total Capital (MRQ),0.0742
Change in Debt/Total Capital Quarter over Quarter,-0.008100000000000001
Quick Ratio (MRQ),6.39
Interest Coverage (MRQ),
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-09-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-23 00:00:00
ford since,2022-08-12 00:00:00
theStreet since,
marketEdge opinion since,
