,RIVN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,39.97,Valuation,
Price/Sales (TTM),25.93,101.66,Valuation,0.2550659059610466
Price/Book (MRQ),1.77,11.49,Valuation,0.15404699738903394
"PEG Ratio (TTM, GAAP)",,0.22,Valuation,
Gross Profit Margin (TTM),-1.7255000000000003,0.11699999999999999,Profitability,-14.74786324786325
Operating Profit Margin (TTM),-7.1478,-0.2699,Profitability,26.483141904409045
Net Profit Margin (TTM),-7.1401,-0.2521,Profitability,28.32249107497025
Annual Dividend Yield,,0.0042,Dividend,
Dividend Change %,,-0.0204,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0355,Dividend,
EPS Growth (MRQ),0.004,0.7152,Gowth rates,0.005592841163310962
EPS Growth (TTM),-0.2787,1.7968000000000002,Gowth rates,-0.15510908281389135
Revenue Growth (MRQ),0.47250000000000003,38.5199,Gowth rates,0.012266386984389888
Revenue Growth (TTM),1048.0,40.138400000000004,Gowth rates,26.10966057441253
Return On Equity (TTM),-1.2771,0.2255,Effectiveness,-5.663414634146341
Return On Assets (TTM),-0.5445000000000001,0.1081,Effectiveness,-5.037002775208141
Return On Investment (TTM),-0.6151,0.1748,Effectiveness,-3.518878718535469
Revenue Per Employee (TTM),100653.0,729889.0,Effectiveness,0.13790179054623375
Total Debt/Total Capital (MRQ),0.0742,0.1877,Financial strength,0.3953116675546084
Change in Debt/Total Capital Quarter over Quarter,-0.008100000000000001,0.0070999999999999995,Financial strength,-1.1408450704225355
Quick Ratio (MRQ),6.39,1.3,Financial strength,4.915384615384615
Interest Coverage (MRQ),,0.51,Financial strength,
