,MNST
% Below High,0.0101
% Held by Institutions,0.6724
52-Wk Range,['71.78 - 104.42']
Annual Dividend $,
Annual Dividend %,
Ask,105.0
Ask Size,100.0
Ask close,110.54
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,101.26
Bid Size,100.0
Bid close,97.25
Change Since Close,-0.53| |(-0.51%)
Closing Price,103.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.29
Ex-dividend Date,No dividend
Historical Volatility,0.3
Last (size),9.0
Last (time),1:00p ET 11/25/22
Last Trade,102.84
Market Cap,53.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.15
Prev Close,103.37
Short Interest,0.011699999999999999
Today's Open,
Volume,34.0
Volume 10-day Avg,2312383.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.14117647058823524
Growth 1yr High Est,-0.045454545454545525
Growth 1yr Consensus Est,-0.09331550802139038
Growth 2yr Low Est,0.08009669621273174
Growth 2yr High Est,0.10227272727272724
Growth 2yr Consensus Est,0.09118471174272949
Growth 5yr Low Est,0.10182594657105815
Growth 5yr High Est,0.11494952248769039
Growth 5yr Consensus Est,0.10838773452937427
Growth 5yr Actual/Est,0.11136058796614076
Growth 3yr Historic,0.06153822288409033
Price/Earnings (TTM),45.15433
Price/Sales (TTM),8.97466
Price/Book (MRQ),7.99692
Price/Cash Flow (TTM),42.09492
5yr Low,47.61
5yr High,104.42
5yr Avg Return,0.11175000000000003
EPS Growth 5yr,0.1669887
Revenue Growth 5yr,0.1268873
Dividend Growth 5yr,
Short Int Current Month,4329724.0
Short Int Prev Month,5284362.0
Short Int Pct of Float,0.0117475
Days to Cover,1.48295
Float,368.5863
Shares Outstanding,521.7436
Institutions Holding Shares,1078.0
FCF Growth 5yr,-1.0795913572172566
"Price/Earnings (TTM, GAAP)",45.15
"PEG Ratio (TTM, GAAP)",3.33
Gross Profit Margin (TTM),0.5181
Operating Profit Margin (TTM),0.2712
Net Profit Margin (TTM),0.204
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0696
EPS Growth (TTM),-0.2046
Revenue Growth (MRQ),0.09
Revenue Growth (TTM),0.1672
Return On Equity (TTM),0.1929
Return On Assets (TTM),0.1608
Return On Investment (TTM),0.18489999999999998
Revenue Per Employee (TTM),1468581.0
Total Debt/Total Capital (MRQ),0.0002
Change in Debt/Total Capital Quarter over Quarter,-0.0032
Quick Ratio (MRQ),3.48
Interest Coverage (MRQ),55.0
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-15 00:00:00
theStreet since,2015-07-24 00:00:00
cfra since,2022-11-04 00:00:00
ford since,2022-07-15 00:00:00
marketEdge opinion since,
