,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,50.3,30.11,,,,,
low,24.66,9.53,,,,,
change,-0.2663,-0.5964,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,387.0,230.0,228.0,229.0,Balance Sheet
Short Term Investments,,,,109.0,118.0,121.0,Balance Sheet
Cash and Short Term Invs,,,387.0,339.0,346.0,350.0,Balance Sheet
"Trade Accts Recvble, Gross",,,45.0,40.0,33.0,35.0,Balance Sheet
Prov. for Doubtful Accts,,,-1.0,-1.0,-1.0,-2.0,Balance Sheet
"Total Receivables, Net",,,43.0,38.0,32.0,34.0,Balance Sheet
Prepaid Expenses,,,7.0,7.0,10.0,10.0,Balance Sheet
"Other Curr. Assets, Total",,,7.0,8.0,8.0,9.0,Balance Sheet
Total Current Assets,,,444.0,392.0,396.0,402.0,Balance Sheet
Buildings,,,3.0,3.0,3.0,3.0,Balance Sheet
Machinery/Equipment,,,5.0,5.0,5.0,6.0,Balance Sheet
Construction in Progress,,,0.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,2.0,20.0,12.0,12.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,10.0,29.0,20.0,20.0,Balance Sheet
Accumulated Depreciation,,,-5.0,-5.0,-5.0,-5.0,Balance Sheet
Prop./Plant/Equip. - Net,,,5.0,24.0,15.0,15.0,Balance Sheet
"Goodwill, Gross",,,1261.0,1324.0,1323.0,1323.0,Balance Sheet
Accum. Goodwill Amort.,,,0.0,0.0,0.0,0.0,Balance Sheet
"Goodwill, Net",,,1261.0,1324.0,1323.0,1323.0,Balance Sheet
Intangibles - Gross,,,500.0,549.0,549.0,551.0,Balance Sheet
Accum. Intangible Amort.,,,-147.0,-162.0,-177.0,-190.0,Balance Sheet
Intangibles - Net,,,352.0,387.0,372.0,362.0,Balance Sheet
Long Term Investments,,,33.0,0.0,0.0,0.0,Balance Sheet
Deferred Charges,,,12.0,12.0,13.0,13.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,8.0,3.0,3.0,5.0,Balance Sheet
Total Assets,,,2116.0,2142.0,2123.0,2120.0,Balance Sheet
Accounts Payable,,,5.0,6.0,7.0,10.0,Balance Sheet
Accrued Expenses,,,12.0,12.0,13.0,16.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,7.0,7.0,7.0,7.0,Balance Sheet
Customer Advances,,,84.0,94.0,89.0,84.0,Balance Sheet
Other Current Liabilities,,,11.0,4.0,4.0,5.0,Balance Sheet
"Other Curr. Lblts, Total",,,94.0,97.0,93.0,89.0,Balance Sheet
Total Current Liabilities,,,118.0,122.0,119.0,122.0,Balance Sheet
Total Long Term Debt,,,264.0,262.0,261.0,259.0,Balance Sheet
Total Debt,,,271.0,269.0,268.0,266.0,Balance Sheet
Deferred Income Tax,,,76.0,86.0,86.0,92.0,Balance Sheet
Minority Interest,,,630.0,623.0,588.0,545.0,Balance Sheet
"Other Liabilities, Total",,,155.0,174.0,169.0,170.0,Balance Sheet
Total Liabilities,,,1243.0,1268.0,1222.0,1187.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
