,TARS
% Above Low,0.5407000000000001
% Held by Institutions,0.7303000000000001
52-Wk Range,['10.80 - 28.03']
Annual Dividend $,
Annual Dividend %,
Ask,16.65
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,16.59
Bid Size,200.0
Day Change $,-0.29
Day Change %,-0.0171
Day High,17.05
Day Low,16.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.78
Ex-dividend Date,No dividend
Historical Volatility,0.684
Last (size),100.0
Last (time),3:57p ET 11/28/22
Market Cap,442.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.93
Price,16.64
Short Interest,0.0583
Today's Open,16.88
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0814814814814815
Growth 2yr High Est,1.6709677419354838
Growth 2yr Consensus Est,1.3762246117084826
Growth 5yr Low Est,1.0814814814814815
Growth 5yr High Est,1.6709677419354838
Growth 5yr Consensus Est,1.3762246117084826
Growth 5yr Actual/Est,0.8769568276008531
Growth 3yr Historic,-0.28163580246913583
Price/Earnings (TTM),
Price/Sales (TTM),27.95346
Price/Book (MRQ),2.2285
Price/Cash Flow (TTM),
5yr Low,10.8
5yr High,63.69
5yr Avg Return,0.2705
Short Int Current Month,1273562.0
Short Int Prev Month,1490735.0
Short Int Pct of Float,0.058261200000000006
Days to Cover,9.69949
Float,23.15426
Shares Outstanding,26.67219
Institutions Holding Shares,104.0
FCF Growth 5yr,-1.552706836997447
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9671
Operating Profit Margin (TTM),-3.8442000000000003
Net Profit Margin (TTM),-3.9212000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.5772000000000004
EPS Growth (TTM),-4.1738
Revenue Growth (MRQ),-1.0
Revenue Growth (TTM),-0.715
Return On Equity (TTM),-0.3318
Return On Assets (TTM),-0.2968
Return On Investment (TTM),-0.315
Revenue Per Employee (TTM),351174.0
Total Debt/Total Capital (MRQ),0.08720000000000001
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
