,TARS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),27.95,18.12,Valuation,1.542494481236203
Price/Book (MRQ),2.23,11.52,Valuation,0.1935763888888889
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.9671,0.6774,Profitability,1.4276645999409507
Operating Profit Margin (TTM),-3.8442000000000003,-0.8243,Profitability,4.663593351934975
Net Profit Margin (TTM),-3.9212000000000002,-0.8643000000000001,Profitability,4.53685063056809
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),-2.5772000000000004,0.0882,Gowth rates,-29.21995464852608
EPS Growth (TTM),-4.1738,0.5872999999999999,Gowth rates,-7.10675974799932
Revenue Growth (MRQ),-1.0,0.0441,Gowth rates,-22.675736961451246
Revenue Growth (TTM),-0.715,0.17600000000000002,Gowth rates,-4.062499999999999
Return On Equity (TTM),-0.3318,0.3019,Effectiveness,-1.0990394170255051
Return On Assets (TTM),-0.2968,0.09210000000000002,Effectiveness,-3.2225841476655805
Return On Investment (TTM),-0.315,0.1384,Effectiveness,-2.2760115606936417
Revenue Per Employee (TTM),351174.0,1426391.0,Effectiveness,0.2461975713531563
Total Debt/Total Capital (MRQ),0.08720000000000001,0.4169,Financial strength,0.2091628687934757
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.1,Financial strength,
