,HWM
% Below High,0.030600000000000002
% Held by Institutions,0.9174
52-Wk Range,['27.41 - 39.24']
Annual Dividend $,0.16
Annual Dividend %,0.0042
Ask,39.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.6
Bid,32.51
Bid Size,200.0
Closing Price,38.04
Day Change $,0.02
Day Change %,0.0005
Day High,38.25
Day Low,37.88
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",1.02
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.349
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,15.7B
"P/E Ratio (TTM, GAAP)",37.23
Prev Close,38.02
Short Interest,0.0159
Today's Open,38.07
Volume,713942.0
Volume 10-day Avg,2838200.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.404040404040404
Growth 1yr High Est,0.38235294117647056
Growth 1yr Consensus Est,0.39319667260843727
Growth 2yr Low Est,0.3027396264806337
Growth 2yr High Est,0.33656654151022114
Growth 2yr Consensus Est,0.3196530839954274
Growth 5yr Low Est,0.019790865871895796
Growth 5yr High Est,0.03744214925978345
Growth 5yr Consensus Est,0.02861650756583964
Growth 5yr Actual/Est,0.06587495475173785
Growth 3yr Historic,-0.0895882701421801
Price/Earnings (TTM),37.22806
Price/Sales (TTM),2.8956
Price/Book (MRQ),4.8939
Price/Cash Flow (TTM),22.54671
5yr Low,9.87
5yr High,39.24
5yr Avg Return,0.1364
EPS Growth 5yr,
Revenue Growth 5yr,-0.16696370000000002
Dividend Growth 5yr,-0.35560600000000003
Short Int Current Month,6544690.0
Short Int Prev Month,6438564.0
Short Int Pct of Float,0.0159269
Days to Cover,1.77158
Float,410.9192
Shares Outstanding,413.712
Institutions Holding Shares,742.0
FCF Growth 5yr,-5.699587004895416
"Price/Earnings (TTM, GAAP)",37.23
"PEG Ratio (TTM, GAAP)",1.31
Gross Profit Margin (TTM),0.2767
Operating Profit Margin (TTM),0.1544
Net Profit Margin (TTM),0.08
Annual Dividend Yield,0.0042
Dividend Change %,1.0
"Dividend Growth Rate, 3 Years",-0.4497
EPS Growth (MRQ),-0.46
EPS Growth (TTM),0.5719
Revenue Growth (MRQ),0.028700000000000003
Revenue Growth (TTM),0.1036
Return On Equity (TTM),0.12840000000000001
Return On Assets (TTM),0.0429
Return On Investment (TTM),0.0492
Revenue Per Employee (TTM),273116.0
Total Debt/Total Capital (MRQ),0.5603
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),4.07
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-02-03 00:00:00
researchTeam since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-31 00:00:00
ford since,2021-10-01 00:00:00
marketEdge opinion since,
