,CNO
Price/Earnings (TTM),5.92018
Price/Sales (TTM),0.72411
Price/Book (MRQ),2.0452
Price/Cash Flow (TTM),3.06263
5yr Low,8.79
5yr High,27.89
5yr Avg Return,0.018916666666666658
EPS Growth 5yr,0.1085788
Revenue Growth 5yr,0.004122799999999999
Dividend Growth 5yr,0.1046932
Short Int Current Month,2781871.0
Short Int Prev Month,3252496.0
Short Int Pct of Float,0.0247561
Days to Cover,3.00086
Float,112.5973
Shares Outstanding,114.4033
Institutions Holding Shares,343.0
% Held by Institutions,0.982906
FCF Growth 5yr,
