,CNO
% Below High,0.132
% Held by Institutions,0.9829000000000001
52-Wk Range,['16.56 - 26.74']
Annual Dividend $,0.56
Annual Dividend %,0.0241
Ask,24.0
Ask Size,100.0
B/A Ratio,11.0
B/A Size,1100x100
Beta,1.2
Bid,17.0
Bid Size,1100.0
Closing Price,23.21
Day Change $,0.17
Day Change %,0.0074
Day High,23.25
Day Low,23.11
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",3.92
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.34
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.92
Prev Close,23.04
Short Interest,0.0248
Today's Open,23.17
Volume,216383.0
Volume 10-day Avg,760844.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.092741935483871
Growth 1yr High Est,-0.04313725490196074
Growth 1yr Consensus Est,-0.06793959519291587
Growth 2yr Low Est,-0.0463709677419355
Growth 2yr High Est,-0.02976534876245579
Growth 2yr Consensus Est,-0.038068158252195644
Growth 5yr Low Est,0.08110023041474651
Growth 5yr High Est,0.08539205089349736
Growth 5yr Consensus Est,0.08324614065412193
Growth 5yr Actual/Est,0.07439130994923662
Growth 3yr Historic,0.11758359149663494
Price/Earnings (TTM),5.92018
Price/Sales (TTM),0.72411
Price/Book (MRQ),2.0452
Price/Cash Flow (TTM),3.06263
5yr Low,8.79
5yr High,27.89
5yr Avg Return,0.018916666666666658
EPS Growth 5yr,0.1085788
Revenue Growth 5yr,0.004122799999999999
Dividend Growth 5yr,0.1046932
Short Int Current Month,2781871.0
Short Int Prev Month,3252496.0
Short Int Pct of Float,0.0247561
Days to Cover,3.00086
Float,112.5973
Shares Outstanding,114.4033
Institutions Holding Shares,343.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",5.92
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.19710000000000003
Net Profit Margin (TTM),0.128
Annual Dividend Yield,0.024100000000000003
Dividend Change %,0.0851
"Dividend Growth Rate, 3 Years",0.0935
EPS Growth (MRQ),-0.2195
EPS Growth (TTM),0.2132
Revenue Growth (MRQ),0.059699999999999996
Revenue Growth (TTM),-0.10490000000000001
Return On Equity (TTM),0.1437
Return On Assets (TTM),0.013600000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),1094627.0
Total Debt/Total Capital (MRQ),0.75
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.19
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-14 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-08-19 00:00:00
