,MANH
% Above Low,0.1674
% Held by Institutions,0.9791
52-Wk Range,['106.02 - 161.78']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,123.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.76
Ex-dividend Date,No dividend
Historical Volatility,0.44700000000000006
Last (size),183.0
Last (time),1:00p ET 11/25/22
Market Cap,7.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",70.52
Prev Close,123.77
Short Interest,0.020499999999999997
Today's Open,
Volume,115390.0
Volume 10-day Avg,258545.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.15094339622641506
Growth 1yr High Est,0.13953488372093026
Growth 1yr Consensus Est,0.14523913997367266
Growth 2yr Low Est,0.0939143210640272
Growth 2yr High Est,0.11262458471760795
Growth 2yr Consensus Est,0.10326945289081757
Growth 5yr Low Est,0.0939143210640272
Growth 5yr High Est,0.11262458471760795
Growth 5yr Consensus Est,0.10326945289081757
Growth 5yr Actual/Est,0.10960472643377894
Growth 3yr Historic,0.06963492685475448
Price/Earnings (TTM),70.52301
Price/Sales (TTM),10.4296
Price/Book (MRQ),38.97646
Price/Cash Flow (TTM),65.11245
5yr Low,35.2
5yr High,188.52
5yr Avg Return,0.2444333333333334
EPS Growth 5yr,-0.0007645
Revenue Growth 5yr,0.0188247
Dividend Growth 5yr,
Short Int Current Month,1261616.0
Short Int Prev Month,1232024.0
Short Int Pct of Float,0.0204976
Days to Cover,3.47421
Float,61.54857
Shares Outstanding,62.39684
Institutions Holding Shares,526.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",70.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5275
Operating Profit Margin (TTM),0.1825
Net Profit Margin (TTM),0.15080000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0335
EPS Growth (TTM),0.022400000000000003
Revenue Growth (MRQ),0.0322
Revenue Growth (TTM),0.1584
Return On Equity (TTM),0.5114
Return On Assets (TTM),0.21710000000000002
Return On Investment (TTM),0.4361
Revenue Per Employee (TTM),205688.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-10-26 00:00:00
cfra since,2021-08-02 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
