,VRDN
% Below High,0.1377
% Held by Institutions,0.9299
52-Wk Range,['9.47 - 26.22']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,22.6
Bid Size,100.0
Closing Price,22.61
Day Change $,-0.2
Day Change %,-0.0088
Day High,23.31
Day Low,22.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.21
Ex-dividend Date,No dividend
Historical Volatility,0.802
Last (size),3500.0
Last (time),4:00p ET 11/28/22
Market Cap,910.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.81
Short Interest,0.0735
Today's Open,22.81
Volume,271994.0
Volume 10-day Avg,482951.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08333333333333348
Growth 2yr High Est,-0.050793650793650724
Growth 2yr Consensus Est,0.01626984126984138
Growth 5yr Low Est,0.08333333333333348
Growth 5yr High Est,-0.050793650793650724
Growth 5yr Consensus Est,0.01626984126984138
Growth 5yr Actual/Est,-0.3389346955023955
Growth 3yr Historic,-0.2117435470729974
Price/Earnings (TTM),
Price/Sales (TTM),488.0715
Price/Book (MRQ),3.43991
Price/Cash Flow (TTM),
5yr Low,4.67
5yr High,160.5
5yr Avg Return,0.05171666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0314871
Dividend Growth 5yr,
Short Int Current Month,2825973.0
Short Int Prev Month,2256680.0
Short Int Pct of Float,0.0734775
Days to Cover,5.82377
Float,39.68094
Shares Outstanding,40.24825
Institutions Holding Shares,133.0
FCF Growth 5yr,0.2589219298569068
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-60.7757
Net Profit Margin (TTM),-60.093
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1936
EPS Growth (TTM),0.8572
Revenue Growth (MRQ),3.668
Revenue Growth (TTM),-0.3289
Return On Equity (TTM),-0.7293000000000001
Return On Assets (TTM),-0.34159999999999996
Return On Investment (TTM),-0.3633
Revenue Per Employee (TTM),37620.0
Total Debt/Total Capital (MRQ),0.011200000000000002
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2019-10-06 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
