,LYV
% Above Low,0.0524
% Held by Institutions,0.7031000000000001
52-Wk Range,['65.05 - 126.79']
Annual Dividend $,
Annual Dividend %,
Ask,69.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,59.52
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,68.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.75
Ex-dividend Date,No dividend
Historical Volatility,0.466
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,68.46
Market Cap,15.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",91.36
Prev Close,68.46
Short Interest,0.0742
Today's Open,
Volume,301.0
Volume 10-day Avg,3509915.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-1.0516647531572905
Growth 1yr High Est,-1.1686121919584955
Growth 1yr Consensus Est,-1.1101384725578929
Growth 2yr Low Est,-0.3258323765786453
Growth 2yr High Est,-0.4073830190561709
Growth 2yr Consensus Est,-0.3666076978174081
Growth 5yr Low Est,-0.21722158438576353
Growth 5yr High Est,-0.27158867937078063
Growth 5yr Consensus Est,-0.24440513187827204
Growth 5yr Actual/Est,100.90750143670957
Growth 3yr Historic,101.09513546798028
Price/Earnings (TTM),91.35796
Price/Sales (TTM),1.0472
Price/Book (MRQ),
Price/Cash Flow (TTM),18.9212
5yr Low,21.7
5yr High,127.75
5yr Avg Return,0.12616666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0558448
Dividend Growth 5yr,
Short Int Current Month,11566508.0
Short Int Prev Month,12579449.0
Short Int Pct of Float,0.0742275
Days to Cover,3.99255
Float,155.8052
Shares Outstanding,230.8799
Institutions Holding Shares,834.0
FCF Growth 5yr,-0.1833034364271222
"Price/Earnings (TTM, GAAP)",91.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2676
Operating Profit Margin (TTM),0.04820000000000001
Net Profit Margin (TTM),0.0275
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9811
EPS Growth (TTM),1.1789
Revenue Growth (MRQ),0.38780000000000003
Revenue Growth (TTM),2.9692000000000003
Return On Equity (TTM),
Return On Assets (TTM),0.0285
Return On Investment (TTM),0.0582
Revenue Per Employee (TTM),1479773.0
Total Debt/Total Capital (MRQ),0.8519
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.11
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-11 00:00:00
cfra since,2022-11-04 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
