,LYV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",91.36,-577.59,Valuation,-0.15817448363025674
Price/Sales (TTM),1.05,6.3,Valuation,0.16666666666666669
Price/Book (MRQ),,7.63,Valuation,
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.2676,0.41159999999999997,Profitability,0.6501457725947523
Operating Profit Margin (TTM),0.04820000000000001,0.0672,Profitability,0.7172619047619049
Net Profit Margin (TTM),0.0275,0.0336,Profitability,0.818452380952381
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),0.9811,-1.1815,Gowth rates,-0.8303851036817604
EPS Growth (TTM),1.1789,0.2345,Gowth rates,5.027292110874201
Revenue Growth (MRQ),0.38780000000000003,0.2214,Gowth rates,1.7515808491418248
Revenue Growth (TTM),2.9692000000000003,0.44170000000000004,Gowth rates,6.722209644555128
Return On Equity (TTM),,0.1716,Effectiveness,
Return On Assets (TTM),0.0285,0.0233,Effectiveness,1.2231759656652361
Return On Investment (TTM),0.0582,0.027999999999999997,Effectiveness,2.0785714285714287
Revenue Per Employee (TTM),1479773.0,999442.0,Effectiveness,1.4805991743392812
Total Debt/Total Capital (MRQ),0.8519,0.4204,Financial strength,2.0264034253092293
Change in Debt/Total Capital Quarter over Quarter,-0.0015,0.0014000000000000002,Financial strength,-1.0714285714285714
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),8.11,-3.12,Financial strength,-2.599358974358974
