,RMBL
% Above Low,0.0671
% Held by Institutions,0.42369999999999997
52-Wk Range,['6.63 - 43.69']
Annual Dividend $,
Annual Dividend %,
Ask,7.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,7.05
Bid Size,100.0
Day Change $,-0.025
Day Change %,-0.0034999999999999996
Day High,7.63
Day Low,7.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.01
Ex-dividend Date,No dividend
Historical Volatility,0.932
Last (size),100.0
Last (time),12:57p ET 11/28/22
Market Cap,114.7M
"P/E Ratio (TTM, GAAP)",2.36
Prev Close,7.1
Price,7.08
Short Interest,0.1133
Today's Open,7.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.1022026431718062
Growth 1yr High Est,-1.1365638766519823
Growth 1yr Consensus Est,-1.1193832599118942
Growth 2yr Low Est,-0.6631702871031444
Growth 2yr High Est,-0.23279806735824926
Growth 2yr Consensus Est,-0.44798417723069683
Growth 5yr Low Est,-0.4421135247354296
Growth 5yr High Est,-0.15519871157216616
Growth 5yr Consensus Est,-0.2986561181537979
Growth 5yr Actual/Est,-0.889878464956418
Growth 3yr Historic,-0.3987437131833683
Price/Earnings (TTM),2.36138
Price/Sales (TTM),0.05967
Price/Book (MRQ),0.23375
Price/Cash Flow (TTM),1.712
5yr Low,3.0
5yr High,219.6
5yr Avg Return,-0.08900000000000001
Short Int Current Month,1164324.0
Short Int Prev Month,1439674.0
Short Int Pct of Float,0.1133155
Days to Cover,3.93006
Float,10.22678
Shares Outstanding,16.14369
Institutions Holding Shares,96.0
FCF Growth 5yr,-0.7478167256482277
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",2.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2341
Operating Profit Margin (TTM),0.046200000000000005
Net Profit Margin (TTM),0.0244
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7831
EPS Growth (TTM),1.3466
Revenue Growth (MRQ),-0.1388
Revenue Growth (TTM),2.4028
Return On Equity (TTM),0.1041
Return On Assets (TTM),0.0405
Return On Investment (TTM),0.0501
Revenue Per Employee (TTM),985584.0
Total Debt/Total Capital (MRQ),0.5342
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),1.27
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-18 00:00:00
theStreet since,2022-08-18 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
