,MCK
Price/Earnings (TTM),27.08169
Price/Sales (TTM),0.20011
Price/Book (MRQ),
Price/Cash Flow (TTM),18.95344
5yr Low,106.11
5yr High,401.78
5yr Avg Return,0.20645
EPS Growth 5yr,-0.20792539999999998
Revenue Growth 5yr,0.058627200000000004
Dividend Growth 5yr,0.0970853
Short Int Current Month,2487442.0
Short Int Prev Month,2983290.0
Short Int Pct of Float,0.0175386
Days to Cover,1.73144
Float,141.8455
Shares Outstanding,142.0
Institutions Holding Shares,1575.0
% Held by Institutions,0.868229
FCF Growth 5yr,-0.12222450235659339
