,MCK
% Below High,0.045899999999999996
% Held by Institutions,0.8682
52-Wk Range,['215.27 - 401.78']
Annual Dividend $,2.16
Annual Dividend %,0.005600000000000001
Ask,399.14
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,372.0
Bid Size,100.0
Change Since Close,-11.26| |(-2.94%)
Closing Price,383.34
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",14.15
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24100000000000002
Last (size),26.0
Last (time),5:00p ET 11/25/22
Last Trade,372.08
Market Cap,54.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.08
Prev Close,383.34
Short Interest,0.0175
Today's Open,
Volume,52.0
Volume 10-day Avg,1229138.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.03714647530603621
Growth 1yr High Est,0.03676166873192899
Growth 1yr Consensus Est,0.0369540720189826
Growth 2yr Low Est,0.040754759834540244
Growth 2yr High Est,0.06997445986397244
Growth 2yr Consensus Est,0.05536460984925634
Growth 5yr Low Est,0.1599322857002461
Growth 5yr High Est,0.17477836624302534
Growth 5yr Consensus Est,0.16735532597163572
Growth 5yr Actual/Est,0.1595669260820114
Growth 3yr Historic,0.13192396114104932
Price/Earnings (TTM),27.08169
Price/Sales (TTM),0.20011
Price/Book (MRQ),
Price/Cash Flow (TTM),18.95344
5yr Low,106.11
5yr High,401.78
5yr Avg Return,0.20645
EPS Growth 5yr,-0.20792539999999998
Revenue Growth 5yr,0.058627200000000004
Dividend Growth 5yr,0.0970853
Short Int Current Month,2487442.0
Short Int Prev Month,2983290.0
Short Int Pct of Float,0.0175386
Days to Cover,1.73144
Float,141.8455
Shares Outstanding,142.0
Institutions Holding Shares,1575.0
FCF Growth 5yr,-0.12222450235659339
"Price/Earnings (TTM, GAAP)",27.08
"PEG Ratio (TTM, GAAP)",2.58
Gross Profit Margin (TTM),0.04730000000000001
Operating Profit Margin (TTM),0.011399999999999999
Net Profit Margin (TTM),0.008199999999999999
Annual Dividend Yield,0.005600000000000001
Dividend Change %,0.0723
"Dividend Growth Rate, 3 Years",0.0683
EPS Growth (MRQ),0.23190000000000002
EPS Growth (TTM),1.4713
Revenue Growth (MRQ),0.0447
Revenue Growth (TTM),0.08380000000000001
Return On Equity (TTM),
Return On Assets (TTM),0.0351
Return On Investment (TTM),0.14250000000000002
Revenue Per Employee (TTM),4690121.0
Total Debt/Total Capital (MRQ),1.2862
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.55
Interest Coverage (MRQ),20.56
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-03 00:00:00
theStreet since,2022-02-03 00:00:00
cfra since,2022-03-11 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
