,COLM
% Below High,0.141
% Held by Institutions,0.5008
52-Wk Range,['65.02 - 103.74']
Annual Dividend $,1.2
Annual Dividend %,0.013500000000000002
Ask,104.89
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,64.75
Bid Size,100.0
Closing Price,89.11
Day Change $,0.62
Day Change %,0.006999999999999999
Day High,89.27
Day Low,86.09
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",5.34
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.359
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.7
Prev Close,88.49
Short Interest,0.0304
Today's Open,88.05
Volume,157304.0
Volume 10-day Avg,364017.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.06991525423728806
Growth 1yr High Est,0.09278350515463929
Growth 1yr Consensus Est,0.08134937969596368
Growth 2yr Low Est,0.03495762711864403
Growth 2yr High Est,0.14544835635090458
Growth 2yr Consensus Est,0.09020299173477431
Growth 5yr Low Est,0.017478813559322015
Growth 5yr High Est,0.07272417817545229
Growth 5yr Consensus Est,0.045101495867387154
Growth 5yr Actual/Est,0.4243816657354091
Growth 3yr Historic,0.4063817958745495
Price/Earnings (TTM),16.69805
Price/Sales (TTM),1.61635
Price/Book (MRQ),3.04946
Price/Cash Flow (TTM),12.02355
5yr Low,51.82
5yr High,114.98
5yr Avg Return,0.05296666666666667
EPS Growth 5yr,0.1443535
Revenue Growth 5yr,0.056334499999999996
Dividend Growth 5yr,0.0855176
Short Int Current Month,986757.0
Short Int Prev Month,1104486.0
Short Int Pct of Float,0.030350799999999997
Days to Cover,2.64316
Float,32.51501
Shares Outstanding,62.11363
Institutions Holding Shares,362.0
FCF Growth 5yr,0.8265249917880301
"Price/Earnings (TTM, GAAP)",16.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4997
Operating Profit Margin (TTM),0.13119999999999998
Net Profit Margin (TTM),0.1001
Annual Dividend Yield,0.013500000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.049400000000000006
EPS Growth (MRQ),14.7228
EPS Growth (TTM),0.2132
Revenue Growth (MRQ),0.6522
Revenue Growth (TTM),0.17579999999999998
Return On Equity (TTM),0.1855
Return On Assets (TTM),0.1186
Return On Investment (TTM),0.1526
Revenue Per Employee (TTM),411334.0
Total Debt/Total Capital (MRQ),0.0024
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.3
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
theStreet,rating-box
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
cfra since,2022-10-28 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2021-07-09 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
