,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,72.54,95.74,109.74,101.45,114.98,101.64,,,,,
low,67.06,70.36,80.46,51.82,84.19,65.02,,,,,
change,0.053200000000000004,0.16149999999999998,0.20809999999999998,-0.1301,0.1119,-0.0868,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,763.0,435.0,413.0,159.0,Balance Sheet
Short Term Investments,,,,,,,131.0,175.0,1.0,1.0,Balance Sheet
Cash and Short Term Invs,,,,,,,895.0,610.0,414.0,160.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,497.0,414.0,301.0,606.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-9.0,-5.0,-4.0,-6.0,Balance Sheet
"Total Receivables, Net",,,,,,,488.0,408.0,297.0,600.0,Balance Sheet
Total Inventory,,,,,,,645.0,714.0,963.0,1057.0,Balance Sheet
Prepaid Expenses,,,,,,,86.0,105.0,121.0,142.0,Balance Sheet
Total Current Assets,,,,,,,2114.0,1838.0,1795.0,1960.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,894.0,893.0,892.0,896.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,894.0,893.0,892.0,896.0,Balance Sheet
Accumulated Depreciation,,,,,,,-603.0,-603.0,-604.0,-609.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,622.0,623.0,614.0,616.0,Balance Sheet
"Goodwill, Net",,,,,,,69.0,69.0,69.0,69.0,Balance Sheet
Intangibles - Gross,,,,,,,135.0,135.0,135.0,158.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-33.0,-34.0,-34.0,-34.0,Balance Sheet
Intangibles - Net,,,,,,,102.0,101.0,101.0,101.0,Balance Sheet
Other Long Term Assets,,,,,,,68.0,67.0,67.0,68.0,Balance Sheet
Total Assets,,,,,,,3067.0,2788.0,2727.0,2890.0,Balance Sheet
Accounts Payable,,,,,,,283.0,262.0,312.0,337.0,Balance Sheet
Accrued Expenses,,,,,,,384.0,302.0,305.0,345.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,4.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,13.0,6.0,1.0,10.0,Balance Sheet
Total Current Liabilities,,,,,,,680.0,571.0,618.0,697.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,0.0,0.0,0.0,4.0,Balance Sheet
Deferred Income Tax,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,397.0,398.0,377.0,379.0,Balance Sheet
Total Liabilities,,,,,,,1078.0,969.0,995.0,1075.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,6.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1994.0,1828.0,1753.0,1847.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,0.0,0.0,0.0,,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-14.0,-17.0,-45.0,-75.0,Balance Sheet
Other Comprehensive Income,,,,,,,10.0,8.0,24.0,38.0,Balance Sheet
"Other Equity, Total",,,,,,,-4.0,-9.0,-22.0,-38.0,Balance Sheet
Total Equity,,,,,,,1989.0,1819.0,1732.0,1815.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,3067.0,2788.0,2727.0,2890.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,65.0,63.0,62.0,62.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,1130.0,762.0,578.0,955.0,Income Statement
"Cost of Revenue, Total",,,,,,,540.0,383.0,294.0,497.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,384.0,299.0,281.0,319.0,Income Statement
Unusual Expense (Income),,,,,,,1.0,,,,Income Statement
"Other Operat Expse, Total",,,,,,,-5.0,-4.0,-6.0,-6.0,Income Statement
Total Operating Expense,,,,,,,918.0,678.0,569.0,810.0,Income Statement
Total Operating Income,,,,,,,212.0,84.0,9.0,145.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,0.0,0.0,0.0,1.0,Income Statement
"Other, Net",,,,,,,0.0,0.0,-1.0,0.0,Income Statement
Income Before Tax,,,,,,,212.0,84.0,8.0,146.0,Income Statement
Income Tax - Total,,,,,,,55.0,17.0,1.0,34.0,Income Statement
Income After Tax,,,,,,,157.0,67.0,7.0,112.0,Income Statement
Net Inc Before Extra Items,,,,,,,157.0,67.0,7.0,112.0,Income Statement
Total Net Income,,,,,,,157.0,67.0,7.0,112.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,157.0,67.0,7.0,112.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,157.0,67.0,7.0,112.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,65.0,64.0,63.0,62.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,2.41,1.04,0.11,1.8,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,2.41,1.04,0.11,1.8,Income Statement
Diluted Weighted Average Shares,,,,,,,66.0,65.0,63.0,62.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,2.39,1.03,0.11,1.8,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,2.39,1.03,0.11,1.8,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.26,0.3,0.3,0.3,Income Statement
Gross Divid - Common Stock,,,,,,,17.0,19.0,19.0,19.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,,31.0,30.0,28.0,28.0,Income Statement
Total Special Items,,,,,,,1.0,,,,Income Statement
Normalzd Income Before Tax,,,,,,,212.0,84.0,8.0,146.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,55.0,17.0,1.0,34.0,Income Statement
Normalized Income After Tax,,,,,,,157.0,67.0,7.0,112.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,157.0,67.0,7.0,112.0,Income Statement
Basic Normalized EPS,,,,,,,2.41,1.04,0.11,1.8,Income Statement
Diluted Normalized EPS,,,,,,,2.4,1.03,0.11,1.8,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,354.0,67.0,74.0,186.0,Cash Flow
Depreciation/Depletion,,,,,,,116.0,31.0,59.0,87.0,Cash Flow
Deferred Taxes,,,,,,,-10.0,3.0,4.0,2.0,Cash Flow
Unusual Items,,,,,,,1.0,2.0,2.0,2.0,Cash Flow
Other Non-Cash Items,,,,,,,8.0,2.0,7.0,14.0,Cash Flow
Non-Cash Items,,,,,,,10.0,4.0,9.0,17.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,129.0,18.0,48.0,60.0,Cash Flow
Accounts Receivable,,,,,,,-32.0,81.0,186.0,-129.0,Cash Flow
Inventories,,,,,,,-100.0,-71.0,-332.0,-443.0,Cash Flow
Prepaid Expenses,,,,,,,-25.0,-18.0,-23.0,-28.0,Cash Flow
Other Assets,,,,,,,1.0,-1.0,3.0,2.0,Cash Flow
Accounts Payable,,,,,,,76.0,-21.0,36.0,64.0,Cash Flow
Accrued Expenses,,,,,,,66.0,-81.0,-67.0,-18.0,Cash Flow
Changes in Working Capital,,,,,,,-115.0,-138.0,-258.0,-619.0,Cash Flow
Total Cash from Operations,,,,,,,354.0,-34.0,-113.0,-328.0,Cash Flow
Capital Expenditures,,,,,,,-35.0,-13.0,-29.0,-42.0,Cash Flow
Sale/Maturity of Investment,,,,,,,1.0,1.0,176.0,176.0,Cash Flow
Purchase of Investments,,,,,,,-130.0,-45.0,-45.0,-45.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-129.0,-44.0,131.0,131.0,Cash Flow
Total Cash from Investing,,,,,,,-164.0,-57.0,102.0,88.0,Cash Flow
Financing Cash Flow Items,,,,,,,0.0,,,-1.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-69.0,-19.0,-38.0,-57.0,Cash Flow
Sale/Issuance of Common,,,,,,,29.0,3.0,4.0,5.0,Cash Flow
Repurch/Retirement Common,,,,,,,-165.0,-217.0,-287.0,-287.0,Cash Flow
"Common Stock, Net",,,,,,,-137.0,-215.0,-283.0,-283.0,Cash Flow
Options Exercised,,,,,,,-6.0,-4.0,-4.0,-4.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-142.0,-219.0,-287.0,-287.0,Cash Flow
Short Term Debt Issued,,,,,,,38.0,0.0,0.0,13.0,Cash Flow
Short Term Debt Reduction,,,,,,,-38.0,0.0,0.0,-8.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,0.0,0.0,0.0,5.0,Cash Flow
Total Cash From Financing,,,,,,,-211.0,-238.0,-325.0,-340.0,Cash Flow
Foreign Exchange Effects,,,,,,,-7.0,0.0,-14.0,-25.0,Cash Flow
Net Change in Cash,,,,,,,-27.0,-328.0,-350.0,-604.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,791.0,763.0,763.0,763.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,763.0,435.0,413.0,159.0,Cash Flow
"Depreciation, Supplemental",,,,,,,116.0,31.0,59.0,87.0,Cash Flow
Free Cash Flow,,,,,,,319.0,-47.0,-142.0,-370.0,
FCF Growth,,,,,,,,-1.1473354231974922,2.021276595744681,1.6056338028169015,
