,GBCI
Price/Earnings (TTM),23.576
Price/Sales (TTM),7.19172
Price/Book (MRQ),2.33092
Price/Cash Flow (TTM),20.83474
5yr Low,26.66
5yr High,67.35
5yr Avg Return,0.0795
EPS Growth 5yr,0.1254359
Revenue Growth 5yr,0.1462743
Dividend Growth 5yr,0.09960150000000001
Short Int Current Month,2571140.0
Short Int Prev Month,2938821.0
Short Int Pct of Float,0.0233161
Days to Cover,8.25992
Float,110.2731
Shares Outstanding,110.767
Institutions Holding Shares,408.0
% Held by Institutions,0.713368
FCF Growth 5yr,0.5084834599514361
