,GBCI
% Below High,0.0387
% Held by Institutions,0.7134
52-Wk Range,['44.43 - 60.69']
Annual Dividend $,1.32
Annual Dividend %,0.0226
Ask,63.0
Ask Size,10100.0
B/A Ratio,0.009900990099009901
B/A Size,100x10100
Beta,0.8
Bid,50.88
Bid Size,100.0
Closing Price,58.34
Day Change $,0.9
Day Change %,0.015700000000000002
Day High,58.46
Day Low,57.65
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.47
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.307
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.58
Prev Close,57.44
Short Interest,0.0233
Today's Open,57.78
Volume,90319.0
Volume 10-day Avg,291791.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.02631578947368407
Growth 1yr High Est,-0.06375838926174493
Growth 1yr Consensus Est,-0.01872129989403043
Growth 2yr Low Est,0.035135916714864046
Growth 2yr High Est,0.0684792283081957
Growth 2yr Consensus Est,0.05180757251152987
Growth 5yr Low Est,0.054540675562707364
Growth 5yr High Est,0.09269824060435608
Growth 5yr Consensus Est,0.07361945808353172
Growth 5yr Actual/Est,0.07529549691721693
Growth 3yr Historic,0.049616465803403176
Price/Earnings (TTM),23.576
Price/Sales (TTM),7.19172
Price/Book (MRQ),2.33092
Price/Cash Flow (TTM),20.83474
5yr Low,26.66
5yr High,67.35
5yr Avg Return,0.0795
EPS Growth 5yr,0.1254359
Revenue Growth 5yr,0.1462743
Dividend Growth 5yr,0.09960150000000001
Short Int Current Month,2571140.0
Short Int Prev Month,2938821.0
Short Int Pct of Float,0.0233161
Days to Cover,8.25992
Float,110.2731
Shares Outstanding,110.767
Institutions Holding Shares,408.0
FCF Growth 5yr,0.5084834599514361
"Price/Earnings (TTM, GAAP)",23.58
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3704
Net Profit Margin (TTM),0.3052
Annual Dividend Yield,0.0226
Dividend Change %,0.0763
"Dividend Growth Rate, 3 Years",0.0793
EPS Growth (MRQ),0.0382
EPS Growth (TTM),-0.2516
Revenue Growth (MRQ),0.07400000000000001
Revenue Growth (TTM),0.209
Return On Equity (TTM),0.1063
Return On Assets (TTM),0.011399999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-02 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
